df2_title	df2_name_parts	df1_title	df1_name_parts
Abdul	{"given-name": "Abdul"}	aabbdvl	{"primary-name": "aabdvl"}
A. Almi	{"given-name": "A.", "surname": "Almi"}	a. (alyhv hyym sh`ps) almy	{"given-name": "alyhv", "alternative-name": "sh`ps", "middle-name": "hyym", "acronym": "a."}
Z.I. Ankhi	{"given-name": "Z.I.", "surname": "Ankhi"}	z. y. (zlmn ytshk aaraansaan) ankhy	{"given-name": "zlmn", "middle-name": "ytshk", "surname": "aaraansaan", "acronym": "z. y.", "appellation": "ankhy"}
Itzhak Arco	{"given-name": "Itzhak", "surname": "Arco"}	ytshk arka	{"given-name": "ytshk", "surname": "arka"}
Feivl Arones	{"given-name": "Feivl", "surname": "Arones"}	pyyvvl aaraan`s	{"primary-name": "pyyvvl aaraan`s", "given-name": "pyyvvl", "surname": "aaraan`s"}
Boruch Ass	{"given-name": "Boruch", "surname": "Ass"}	brvkh aas	{"given-name": "brvkh", "surname": "aas"}
Alexander Azro	{"given-name": "Alexander", "surname": "Azro"}	aal`ksaand`r (aarlyvk) azraa	{"primary-name": "aal`ksaand`r", "alternative-name": "aarlyvk", "surname": "azraa"}
Shlomo Badkhan	{"given-name": "Shlomo", "surname": "Badkhan"}	shlmh (b`llvya) bdhn	{"given-name": "shlmh", "alternative-name": "b`llvya", "surname": "bdhn"}
Belle Baker	{"given-name": "Belle", "surname": "Baker"}	b`l b`yk`r	{"primary-name": "b`l b`yk`r"}
Anna Belegolovska	{"given-name": "Anna", "surname": "Belegolovska"}	aannaa (hnh) b`lagalavvskaa	{"given-name": "aannaa", "alternative-name": "hnh", "surname": "b`lagalavvskaa"}
Nachum Belezavski	{"given-name": "Nachum", "surname": "Belezavski"}	nhvm baaz`lynsky	{"given-name": "nhvm", "surname": "baaz`lynsky"}
Bella Bellarina	{"given-name": "Bella", "surname": "Bellarina"}	b`la (rvbynlykht) b`l`ryna	{"primary-name": "b`la", "alternative-name": "rvbynlykht", "surname": "b`l`ryna"}
M. Birnboym	{"given-name": "M.", "surname": "Birnboym"}	m. byrnbvym	{"surname": "byrnbvyym", "acronym": "m."}
Alya Brin	{"given-name": "Alya", "surname": "Brin"}	alya (gaald` zyydlyn) bryn	{"primary-name": "alya", "alternative-name": "gaald`", "surname": "bryn", "matronymic": "zyydlyn"}
Chevel Buzgan	{"given-name": "Chevel", "surname": "Buzgan"}	hbl bvzgan	{"primary-name": "hbl bvzgan", "nisba": "bvzgan"}
Byegun	{"given-name": "Byegun"}	by`gyn	{"primary-name": "by`gyn"}
Jack Cherish	{"given-name": "Jack", "surname": "Cherish"}	dzsh`k (ytshk-y`kb hrsh) tsh`rysh	{"given-name": "ytshk-y`kb", "alternative-name": "dzsh`k", "surname": "tsh`rysh", "patronymic": "hrsh"}
H.A. Condell	{"given-name": "H.A.", "surname": "Condell"}	h. a. (kaahn) kaand`l	{"alternative-name": "kaahn", "surname": "kaand`l", "honorific": "h. a."}
Rosetta Conn	{"given-name": "Rosetta", "surname": "Conn"}	raaz`taa kaahn	{"given-name": "raaz`taa", "surname": "kvhn"}
Mikhl Davidzon	{"given-name": "Mikhl", "surname": "Davidzon"}	dvd (aygnaataavvsky) aygnaataavv	{"given-name": "dvd", "alternative-name": "aygnaatvvsky", "surname": "aygnatvv"}
Jacob Dineson	{"given-name": "Jacob", "surname": "Dineson"}	y`kb dyn`zaan	{"given-name": "y`kb", "surname": "dyn`zvn"}
Manye Elgard	{"given-name": "Manye", "surname": "Elgard"}	maany` (mrym bvb`r) `lgaard	{"given-name": "mrym", "alternative-name": "maany`", "surname": "`lgaard", "matronymic": "bt bvb`r"}
Fernanda Eliscu	{"given-name": "Fernanda", "surname": "Eliscu"}	p`rnaandaa aal`skaa	{"primary-name": "p`rnaandaa", "surname": "al`skaa"}
Elisheva	{"given-name": "Elisheva"}	`lysh`vvaa (sh`vvaa baakshtyyn)	{"given-name": "`lysh`vvaa", "alternative-name": "sh`vvaa", "surname": "baakshtyyn"}
Heshl Epelberg	{"given-name": "Heshl", "surname": "Epelberg"}	h`shl `p(p)`lb`rg	{"primary-name": "h`shl `p(p)`lb`rg"}
Julius Erber	{"given-name": "Julius", "surname": "Erber"}	dzvshlyvs (yhyal) `rb`r	{"primary-name": "dzvshlyvs", "alternative-name": "yhyal", "surname": "`rb`r"}
