df2_title	df2_name_parts	df1_title	df1_name_parts
Abdul	{"given-name": "Abdul"}	abvdui	{"primary-name": "avdui"}
Tsipa Abelman	{"given-name": "Tsipa", "surname": "Abelman"}	tsye (tspurh) aveiman	{"primary-name": "tsye", "alternative-name": "tsypurh", "surname": "aveiman"}
Isaac Aberman	{"given-name": "Isaac", "surname": "Aberman"}	ytskhk (haver) averman	{"given-name": "ytskhk", "alternative-name": "haver", "surname": "avermn"}
Ida Abragam	{"given-name": "Ida", "surname": "Abragam"}	yd (eitenshteyn) avragam	{"given-name": "yd", "alternative-name": "eitenshteyn", "surname": "avragam"}
A. Abramov	{"given-name": "A.", "surname": "Abramov"}	 (brhm kagan) avramov	{"given-name": "brhm", "alternative-name": "kagan", "surname": "avamov", "acronym": ""}
Adolf Abramov	{"given-name": "Adolf", "surname": "Abramov"}	adoif (brhm perkof) avramov	{"given-name": "adoif", "alternative-name": "brhm perkof", "surname": "avramov"}
Boris Abramov	{"given-name": "Boris", "surname": "Abramov"}	vorys (eyniand) avramov	{"given-name": "vorys", "alternative-name": "eyniand", "surname": "avramov"}
Mary Abramov	{"given-name": "Mary", "surname": "Abramov"}	mery (mrym eynhorn) avramov	{"given-name": "mrym", "alternative-name": "mery", "surname": "avramov", "matronymic": "eynhorn"}
Bina Abramovich	{"given-name": "Bina", "surname": "Abramovich"}	vyne (uks) avramovytsh	{"given-name": "vyne", "alternative-name": "uks", "surname": "avramovytsh"}
Max Abramovich	{"given-name": "Max", "surname": "Abramovich"}	maks (mendi) avramovytsh	{"primary-name": "avramovytsh", "given-name": "maks", "alternative-name": "mendi"}
Adolph Abrams	{"given-name": "Adolph", "surname": "Abrams"}	adoif (vramovytsh) avrms	{"given-name": "adoif", "alternative-name": "vramovytsh", "surname": "avrms"}
Amelia Adler	{"given-name": "Amelia", "surname": "Adler"}	emyiye (shrh-myike shtang) adier	{"given-name": "emyiye", "alternative-name": "shrh-myike", "surname": "dier"}
Celia Adler	{"given-name": "Celia", "surname": "Adler"}	tsyie adier	{"given-name": "tsyie", "surname": "dir"}
Hyman Adler	{"given-name": "Hyman", "surname": "Adler"}	heyman (varteid) adier	{"primary-name": "heyman", "alternative-name": "varteid", "surname": "adier"}
Israel Adler	{"given-name": "Israel", "surname": "Adler"}	yshri adier	{"given-name": "yshri", "surname": "adir"}
Jacob P. Adler	{"given-name": "Jacob", "middle-name": "P.", "surname": "Adler"}	yekb p (yekb vn pnkhs) adier	{"given-name": "yekb", "alternative-name": "yekb", "surname": "adir", "patronymic": "bn nkhs"}
