id,title,name_parts,lang,phoneme,name_part_given-name,name_part_middle-name,name_part_surname,name_part_salutation,name_part_patronymic,name_part_professional-name,name_part_maiden-surname,name_part_nisba,name_part_given-name_phoneme,name_part_middle-name_phoneme,name_part_surname_phoneme,name_part_salutation_phoneme,name_part_patronymic_phoneme,name_part_professional-name_phoneme,name_part_maiden-surname_phoneme,name_part_nisba_phoneme,name_part_alternative-name,name_part_alternative-name_phoneme,name_part_qualifier,name_part_honorific,name_part_qualifier_phoneme,name_part_honorific_phoneme,primary-name,matronymic,teknonym,professional-name,surname,acronym,appellation,nisba,salutation,middle-name,alternative-name,patronymic,honorific,qualifier,given-name,maiden-surname
0,dr. louis m. gintsburg,"{""given-name"": ""louis"", ""middle-name"": ""m."", ""surname"": ""gintsburg"", ""salutation"": ""dr.""}",en,dɻə|n laʊɪz m dʒˈɪntsbɜːɡ,louis,m.,gintsburg,dr.,,,,,laʊɪz,m,dʒˈɪntsbɜːɡ,dɻə|n,,,,,,,,,,,,,,,Gintsburg,,,,Dr.,M.,,,,,Louis,
1,abdul,"{""given-name"": ""abdul""}",en,æbdʌl,abdul,,,,,,,,æbdʌl,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul,
2,mordechai abelman,"{""given-name"": ""mordechai"", ""surname"": ""abelman""}",en,mˈɔːdɲˈɛə ˈeɪbl̩mən,mordechai,,abelman,,,,,,mˈɔːdɲˈɛə,,ˈeɪbl̩mən,,,,,,,,,,,,,,,,Abelman,,,,,,,,,,Mordechai,
3,tsipa abelman,"{""given-name"": ""tsipa"", ""surname"": ""abelman""}",en,tsˈɪpə ˈeɪbl̩mən,tsipa,,abelman,,,,,,tsˈɪpə,,ˈeɪbl̩mən,,,,,,,,,,,,,,,,Abelman,,,,,,,,,,Tsipa,
4,ben-zion abelson,"{""given-name"": ""zion"", ""surname"": ""abelson"", ""patronymic"": ""ben""}",en,bɪnzɪən æbˈɛlsn̩,zion,,abelson,,ben,,,,zjən,,æbˈɛlsn̩,,bˈɛn,,,,,,,,,,,,,,Abelson,,,,,,,Ben,,,Zion,
5,isaac aberman,"{""given-name"": ""isaac"", ""surname"": ""aberman""}",en,ˈaɪsəæk ˈæbəmən,isaac,,aberman,,,,,,ˈaɪsəæk,,ˈæbəmən,,,,,,,,,,,,,,,,Aberman,,,,,,,,,,Isaac,
6,ida abragam,"{""given-name"": ""ida"", ""surname"": ""abragam""}",en,ɪdə əbɻˈeɪɡəm,ida,,abragam,,,,,,ɪdə,,əbɻˈeɪɡəm,,,,,,,,,,,,,,,,Abragam,,,,,,,,,,Ida,
7,a. abramov,"{""given-name"": ""a."", ""surname"": ""abramov""}",en,ˈeɪ əbɻæməv,a.,,abramov,,,,,,ˈeɪ,,əbɻæməv,,,,,,,,,,,,,,,,Abramov,,,,,,,,,,A.,
8,adolf abramov,"{""given-name"": ""adolf"", ""surname"": ""abramov""}",en,ədˈɒlf əbɻæməv,adolf,,abramov,,,,,,ədˈɒlf,,əbɻæməv,,,,,,,,,,,,,,,,Abramov,,,,,,,,,,Adolf,
9,boris abramov,"{""given-name"": ""boris"", ""surname"": ""abramov""}",en,bˈɒɻɪz əbɻæməv,boris,,abramov,,,,,,bˈɒɻɪz,,əbɻæməv,,,,,,,,,,,,,,,,Abramov,,,,,,,,,,Boris,
10,mary abramov,"{""given-name"": ""mary"", ""surname"": ""abramov""}",en,məɻɪ əbɻæməv,mary,,abramov,,,,,,məɻɪ,,əbɻæməv,,,,,,,,,,,,,,,,Abramov,,,,,,,,,,Mary,
11,abramov,"{""surname"": ""abramov""}",en,əbɻæməv,,,abramov,,,,,,,,əbɻæməv,,,,,,,,,,,,,,,,Abramov,,,,,,,,,,,
12,bina abramovich,"{""given-name"": ""bina"", ""surname"": ""abramovich""}",en,ba|ɪnə əbɻæməvɪd|ʒ,bina,,abramovich,,,,,,ba|ɪnə,,əbɻæməvɪd|ʒ,,,,,,,,,,,,,,,,Abramovich,,,,,,,,,,Bina,
13,max abramovich,"{""given-name"": ""max"", ""surname"": ""abramovich""}",en,mæk|s əbɻæməvɪd|ʒ,max,,abramovich,,,,,,mæk|s,,əbɻæməvɪd|ʒ,,,,,,,,,,,,,,,,Abramovich,,,,,,,,,,Max,
14,ch.e. abramovits,"{""given-name"": ""ch.e."", ""surname"": ""abramovits""}",en,ɲˈiːeɪˈiː əbɻæməvɪts,ch.e.,,abramovits,,,,,,ɲˈiːeɪˈiː,,əbɻæməvɪts,,,,,,,,,,,,,,,,Abramovits,,,,,,,,,,Ch.E.,
15,chaim abramovitsh,"{""given-name"": ""chaim"", ""surname"": ""abramovitsh""}",en,tʃeɪm əbɻæməva|ɪtʃ,chaim,,abramovitsh,,,,,,tʃeɪm,,əbɻæməva|ɪtʃ,,,,,,,,,,,,,,,,Abramovitsh,,,,,,,,,,Chaim,
16,isaak abramovitsh,"{""given-name"": ""isaak"", ""surname"": ""abramovitsh""}",en,ˈaɪˈɑːk əbɻæməva|ɪtʃ,isaak,,abramovitsh,,,,,,ˈaɪˈɑːk,,əbɻæməva|ɪtʃ,,,,,,,,,,,,,,,,Abramovitsh,,,,,,,,,,Isaak,
17,adolph abrams,"{""given-name"": ""adolph"", ""surname"": ""abrams""}",en,ədɒlf əbɻæmz,adolph,,abrams,,,,,,ədɒlf,,əbɻæmz,,,,,,,,,,,,,,,,Abrams,,,,,,,,,,Adolph,
