id,title,var_entries,langs,lang,phoneme,primary-name,qualifier,patronymic,middle-name,professional-name,teknonym,matronymic,honorific,given-name,nisba,surname,alternative-name,salutation,appellation,acronym
0,aabbdvl,"[{'var': 'aabbdvl', 'src': 'ds', 'lang': 'en'}]",['en'],en,əæbdvl,אַבּדול,,,,,,,,,,,,,,
1,b`ny (brvkh-mshh) ab`lmaan,"[{'var': 'b`ny (brvkh-mshh) ab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,bnɪ bɻvkmʃh ˈæblmən̩,,,,,,,,,ברוך-משה,,אבּעלמאַן,בּעני,,,
2,tsyp` (tspvrh) aab`lmaan,"[{'var': 'tsyp` (tspvrh) aab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,tsɪp t|ˈiːs|puː|nvɜ˞ əˈɑːbmn̩,ציפע,,,,,,,,,,אַבּעלמאַן,ציפּורה,,,
3,bn-tsyvn ab`lsaan,"[{'var': 'bn-tsyvn ab`lsaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,bntsɪvn ˈæblsɑːn̩,,,בן,,,,,,ציון,,אבּעלסאָן,,,,
4,aadaalp aab`rb`rg,"[{'var': 'aadaalp aab`rb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈɑːdælp əˈɑːbɻbɹg,,,,,,,,,אַדאָלף,,אַבּערבּערג,,,,
5,aal`ksaad`r aab`rl`nd`r,"[{'var': 'aal`ksaad`r aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,əɔːksdɜ˞ əəblnɜ˞,,,,,,,,,אַלעקסאַדער,,אַבּערלענדער,,,,
6,yaaz`p ab`rl`nd`r,"[{'var': 'yaaz`p ab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jæp əbɻlnɜ˞,,,,,,,,,ייזעף,,אבּערלענדער,,,,
7,saapy` aab`rl`nd`r,"[{'var': 'saapy` aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,sˈæəpɪ əəblnɜ˞,,,,,,,,,סאָפיה,,אָבּערלענדער,,,,
8,ytshk (haab`r) aab`rmaan,"[{'var': 'ytshk (haab`r) aab`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,jtʃk həbɜ˞ əˈɑːbɻmn̩,,,,,,,,,יצחק,,אַבּערמאן,האַבּער,,,
9,yda (p`lt`nshtyyn) aabraagaam,"[{'var': 'yda (p`lt`nshtyyn) aabraagaam', 'src': 'ds', 'lang': 'en'}]",['en'],en,jdə pltnʃtɪɪn əəbɻˈeɪˈeɪˈɑːm,,,,,,,,,ידא,,אַבּראַגאַם,פעלטענשטיין,,,
