id,title,name_parts,var_entries,langs,nisba,alternative-name,patronymic,surname,middle-name,matronymic,honorific,salutation,primary-name,appellation,professional-name,teknonym,acronym,given-name,qualifier
0,aabbdvl,"{""primary-name"": ""aabdvl""}","[{'var': 'aabbdvl', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,אַבּדול,,,,,,
1,b`ny (brvkh-mshh) ab`lmaan,"{""given-name"": ""brvkh-mshh"", ""alternative-name"": ""b`ny"", ""surname"": ""ab`lmaan""}","[{'var': 'b`ny (brvkh-mshh) ab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,בּעני,,אבּעלמאַן,,,,,,,,,,ברוך-משה,
2,tsyp` (tspvrh) aab`lmaan,"{""primary-name"": ""tsyp`"", ""alternative-name"": ""tsypvrh"", ""surname"": ""aab`lmaan""}","[{'var': 'tsyp` (tspvrh) aab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,ציפּורה,,אַבּעלמאַן,,,,,ציפע,,,,,,
3,bn-tsyvn ab`lsaan,"{""given-name"": ""tsyvn"", ""surname"": ""ab`lsaan"", ""patronymic"": ""bn""}","[{'var': 'bn-tsyvn ab`lsaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,בן,אבּעלסאָן,,,,,,,,,,ציון,
4,aadaalp aab`rb`rg,"{""given-name"": ""aadaalp"", ""surname"": ""aab`rb`rg""}","[{'var': 'aadaalp aab`rb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּערבּערג,,,,,,,,,,אַדאָלף,
5,aal`ksaad`r aab`rl`nd`r,"{""given-name"": ""aal`ksaad`r"", ""surname"": ""aab`rl`nd`r""}","[{'var': 'aal`ksaad`r aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּערלענדער,,,,,,,,,,אַלעקסאַדער,
6,yaaz`p ab`rl`nd`r,"{""given-name"": ""yyz`p"", ""surname"": ""ab`rl`nd`r""}","[{'var': 'yaaz`p ab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אבּערלענדער,,,,,,,,,,ייזעף,
7,saapy` aab`rl`nd`r,"{""given-name"": ""saapyh"", ""surname"": ""aab`rl`nd`r""}","[{'var': 'saapy` aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אָבּערלענדער,,,,,,,,,,סאָפיה,
8,ytshk (haab`r) aab`rmaan,"{""given-name"": ""ytshk"", ""alternative-name"": ""haab`r"", ""surname"": ""aab`rman""}","[{'var': 'ytshk (haab`r) aab`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,האַבּער,,אַבּערמאן,,,,,,,,,,יצחק,
9,yda (p`lt`nshtyyn) aabraagaam,"{""given-name"": ""yda"", ""alternative-name"": ""p`lt`nshtyyn"", ""surname"": ""aabraagaam""}","[{'var': 'yda (p`lt`nshtyyn) aabraagaam', 'src': 'ds', 'lang': 'en'}]",['en'],,פעלטענשטיין,,אַבּראַגאַם,,,,,,,,,,ידא,
10,aabraamaavv,"{""surname"": ""aabraamaavv""}","[{'var': 'aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמאָוו,,,,,,,,,,,
11,a. (abrhm kaagaan) aabraamaavv,"{""given-name"": ""abrhm"", ""alternative-name"": ""kaagaan"", ""surname"": ""aabraamaavv"", ""acronym"": ""a.""}","[{'var': 'a. (abrhm kaagaan) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,קאַגאַן,,אַבּرאַמאָוו,,,,,,,,,א.,אברהם,
12,aadaalp (abrhm p`rkaap) aabraamaavv,"{""given-name"": ""aadaalp"", ""alternative-name"": ""abrhm p`rkaap"", ""surname"": ""aabraamaavv""}","[{'var': 'aadaalp (abrhm p`rkaap) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,אברהם פּערקאָף,,אַבּראַמאָוו,,,,,,,,,,אַדאָלף,
13,baarys (pyynlaand) aabraamaavv,"{""given-name"": ""baarys"", ""alternative-name"": ""pyynlaand"", ""surname"": ""aabraamaavv""}","[{'var': 'baarys (pyynlaand) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,פיינלאַנד,,אַבּראַמאָוו,,,,,,,,,,בּאָריס,
14,m`ry (mrym ayynhaarn) aabraamaavv,"{""given-name"": ""mrym"", ""alternative-name"": ""m`ry"", ""surname"": ""aabraamaavv"", ""matronymic"": ""ayynhaarn""}","[{'var': 'm`ry (mrym ayynhaarn) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,מערי,,אַבּראַמאָוו,,איינהאָרן,,,,,,,,מרים,
15,ayzaak aabraamaavvytsh,"{""given-name"": ""ayzaak"", ""surname"": ""aabraamaavvytsh""}","[{'var': 'ayzaak aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמאָוויטש,,,,,,,,,,איזאָק,
16,byn` (pvks) aabraamaavvytsh,"{""given-name"": ""byn`"", ""alternative-name"": ""pvks"", ""surname"": ""aabraamaavvytsh""}","[{'var': 'byn` (pvks) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,פוקס,,אַבּראַמאָוויטש,,,,,,,,,,בּינע,
17,hyym aabraamaavvytsh,"{""given-name"": ""hyym"", ""surname"": ""abramvbytsh""}","[{'var': 'hyym aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אבראמוביטש,,,,,,,,,,חיים,
18,maaks (m`ndl) aabraamaavvytsh,"{""primary-name"": ""aabraamaavvytsh"", ""given-name"": ""maaks"", ""alternative-name"": ""m`ndl""}","[{'var': 'maaks (m`ndl) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,מענדל,,,,,,,אַבּראַמאָוויטש,,,,,מאַקס,
19,h. `. aabraamaavvyts,"{""surname"": ""aabraamaavvyts"", ""honorific"": ""h. `.""}","[{'var': 'h. `. aabraamaavvyts', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמאָוויץ,,,ח. ע.,,,,,,,,
20,aadaalp (abraamaavvytsh) aabrams,"{""given-name"": ""aadaalp"", ""alternative-name"": ""abraamaavvytsh"", ""surname"": ""aabrams""}","[{'var': 'aadaalp (abraamaavvytsh) aabrams', 'src': 'ds', 'lang': 'en'}]",['en'],,אבּראַמאָוויטש,,אַבּראמס,,,,,,,,,,אַדאָלף,
21,ayyvvaan aabraamsaan,"{""given-name"": ""ayyvvaan"", ""surname"": ""aabraamsavn""}","[{'var': 'ayyvvaan aabraamsaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אַבּראַמסאון,,,,,,,,,,אייוואַן,
