id,title,var_entries,langs,appellation,acronym,qualifier,maiden-surname,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba
0,dr. louis m. gintsburg,"[{'var': 'dr. louis m. gintsburg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,Dr.,,,,Louis,M.,,Gintsburg,,
1,abdul,"[{'var': 'abdul', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Abdul,,,,,
2,mordechai abelman,"[{'var': 'mordechai abelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mordechai,,,Abelman,,
3,tsipa abelman,"[{'var': 'tsipa abelman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Tsipa,,,Abelman,,
4,ben-zion abelson,"[{'var': 'ben-zion abelson', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Zion,,Ben,Abelson,,
5,isaac aberman,"[{'var': 'isaac aberman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Isaac,,,Aberman,,
6,ida abragam,"[{'var': 'ida abragam', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ida,,,Abragam,,
7,a. abramov,"[{'var': 'a. abramov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,A.,,,Abramov,,
8,adolf abramov,"[{'var': 'adolf abramov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Adolf,,,Abramov,,
9,boris abramov,"[{'var': 'boris abramov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Boris,,,Abramov,,
10,mary abramov,"[{'var': 'mary abramov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Mary,,,Abramov,,
11,abramov,"[{'var': 'abramov', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,Abramov,,
12,bina abramovich,"[{'var': 'bina abramovich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Bina,,,Abramovich,,
13,max abramovich,"[{'var': 'max abramovich', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Max,,,Abramovich,,
14,ch.e. abramovits,"[{'var': 'ch.e. abramovits', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Ch.E.,,,Abramovits,,
15,chaim abramovitsh,"[{'var': 'chaim abramovitsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Chaim,,,Abramovitsh,,
