,id,title,var_entries,langs,appellation,acronym,qualifier,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba,name_parts
0,0,aabbdvl,"[{'var': 'aabbdvl', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,,אַבּדול,,"{""name_part_0"": ""aabbdvl""}"
1,1,b`ny (brvkh-mshh) ab`lmaan,"[{'var': 'b`ny (brvkh-mshh) ab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,בּעני,,,,,,ברוך-משה,,,אבּעלמאַן,,,"{""name_part_0"": ""b`ny"", ""name_part_1"": ""(brvkh-mshh)"", ""name_part_2"": ""ab`lmaan""}"
2,2,tsyp` (tspvrh) aab`lmaan,"[{'var': 'tsyp` (tspvrh) aab`lmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ציפּורה,,,,,,,,,אַבּעלמאַן,ציפע,,"{""name_part_0"": ""tsyp`"", ""name_part_1"": ""(tspvrh)"", ""name_part_2"": ""aab`lmaan""}"
3,3,bn-tsyvn ab`lsaan,"[{'var': 'bn-tsyvn ab`lsaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,ציון,,בן,אבּעלסאָן,,,"{""name_part_0"": ""bn-tsyvn"", ""name_part_1"": ""ab`lsaan""}"
4,4,aadaalp aab`rb`rg,"[{'var': 'aadaalp aab`rb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,אַדאָלף,,,אַבּערבּערג,,,"{""name_part_0"": ""aadaalp"", ""name_part_1"": ""aab`rb`rg""}"
5,5,aal`ksaad`r aab`rl`nd`r,"[{'var': 'aal`ksaad`r aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,אַלעקסאַדער,,,אַבּערלענדער,,,"{""name_part_0"": ""aal`ksaad`r"", ""name_part_1"": ""aab`rl`nd`r""}"
6,6,yaaz`p ab`rl`nd`r,"[{'var': 'yaaz`p ab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,ייזעף,,,אבּערלענדער,,,"{""name_part_0"": ""yaaz`p"", ""name_part_1"": ""ab`rl`nd`r""}"
7,7,saapy` aab`rl`nd`r,"[{'var': 'saapy` aab`rl`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,סאָפיה,,,אָבּערלענדער,,,"{""name_part_0"": ""saapy`"", ""name_part_1"": ""aab`rl`nd`r""}"
8,8,ytshk (haab`r) aab`rmaan,"[{'var': 'ytshk (haab`r) aab`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האַבּער,,,,,,יצחק,,,אַבּערמאן,,,"{""name_part_0"": ""ytshk"", ""name_part_1"": ""(haab`r)"", ""name_part_2"": ""aab`rmaan""}"
9,9,yda (p`lt`nshtyyn) aabraagaam,"[{'var': 'yda (p`lt`nshtyyn) aabraagaam', 'src': 'ds', 'lang': 'en'}]",['en'],,,,פעלטענשטיין,,,,,,ידא,,,אַבּראַגאַם,,,"{""name_part_0"": ""yda"", ""name_part_1"": ""(p`lt`nshtyyn)"", ""name_part_2"": ""aabraagaam""}"
10,10,aabraamaavv,"[{'var': 'aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,אַבּראַמאָוו,,,"{""name_part_0"": ""aabraamaavv""}"
11,11,a. (abrhm kaagaan) aabraamaavv,"[{'var': 'a. (abrhm kaagaan) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,א.,,קאַגאַן,,,,,,אברהם,,,אַבּرאַמאָוו,,,"{""name_part_0"": ""a."", ""name_part_1"": ""(abrhm"", ""name_part_2"": ""kaagaan)"", ""name_part_3"": ""aabraamaavv""}"
12,12,aadaalp (abrhm p`rkaap) aabraamaavv,"[{'var': 'aadaalp (abrhm p`rkaap) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אברהם פּערקאָף,,,,,,אַדאָלף,,,אַבּראַמאָוו,,,"{""name_part_0"": ""aadaalp"", ""name_part_1"": ""(abrhm"", ""name_part_2"": ""p`rkaap)"", ""name_part_3"": ""aabraamaavv""}"
13,13,baarys (pyynlaand) aabraamaavv,"[{'var': 'baarys (pyynlaand) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,,,פיינלאַנד,,,,,,בּאָריס,,,אַבּראַמאָוו,,,"{""name_part_0"": ""baarys"", ""name_part_1"": ""(pyynlaand)"", ""name_part_2"": ""aabraamaavv""}"
14,14,m`ry (mrym ayynhaarn) aabraamaavv,"[{'var': 'm`ry (mrym ayynhaarn) aabraamaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מערי,,,איינהאָרן,,,מרים,,,אַבּראַמאָוו,,,"{""name_part_0"": ""m`ry"", ""name_part_1"": ""(mrym"", ""name_part_2"": ""ayynhaarn)"", ""name_part_3"": ""aabraamaavv""}"
15,15,ayzaak aabraamaavvytsh,"[{'var': 'ayzaak aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,איזאָק,,,אַבּראַמאָוויטש,,,"{""name_part_0"": ""ayzaak"", ""name_part_1"": ""aabraamaavvytsh""}"
16,16,byn` (pvks) aabraamaavvytsh,"[{'var': 'byn` (pvks) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,פוקס,,,,,,בּינע,,,אַבּראַמאָוויטש,,,"{""name_part_0"": ""byn`"", ""name_part_1"": ""(pvks)"", ""name_part_2"": ""aabraamaavvytsh""}"
17,17,hyym aabraamaavvytsh,"[{'var': 'hyym aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,חיים,,,אבראמוביטש,,,"{""name_part_0"": ""hyym"", ""name_part_1"": ""aabraamaavvytsh""}"
18,18,maaks (m`ndl) aabraamaavvytsh,"[{'var': 'maaks (m`ndl) aabraamaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מענדל,,,,,,מאַקס,,,,אַבּראַמאָוויטש,,"{""name_part_0"": ""maaks"", ""name_part_1"": ""(m`ndl)"", ""name_part_2"": ""aabraamaavvytsh""}"
19,19,h. `. aabraamaavvyts,"[{'var': 'h. `. aabraamaavvyts', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,ח. ע.,,,,אַבּראַמאָוויץ,,,"{""name_part_0"": ""h."", ""name_part_1"": ""`."", ""name_part_2"": ""aabraamaavvyts""}"
