id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age
http://www.wikidata.org/entity/Q3566114,Wang Yi@ar,ar,,,فنان صيني,1330-01-01,1362-01-01,32
http://www.wikidata.org/entity/Q4262819,دياه_بيتالوكا_سيتارسمي@ar,ar,,,أميرة مملكة سوندا من جاوة الغربية,1340-01-01,1357-01-01,17
http://www.wikidata.org/entity/Q61809176,Orso Orsini@ar,ar,,,,1404-01-01,1424-07-28,20
http://www.wikidata.org/entity/Q116861268,Arcangelo Mercenario@ar,ar,,,"[BA] 121391; Mercenarius, Archangelus",1530-01-01,1585-01-01,55
http://www.wikidata.org/entity/Q1442647,Franco Petri Burgersdijk@ar,ar,,,أستاذ جامعي,1590-05-03,1635-02-19,45
http://www.wikidata.org/entity/Q194691,Frederik (Friedrich) Spanheim@ar,ar,,,أستاذ جامعي,1600-01-01,1649-05-14,49
http://www.wikidata.org/entity/Q112191080,Jean Jacquinot@ar,ar,,,1605-1653; [BA] 107438,1605-01-01,1653-03-16,48
http://www.wikidata.org/entity/Q65849337,Simon Vinnius@ar,ar,,,أستاذ جامعي,1627-01-01,1653-01-01,26
http://www.wikidata.org/entity/Q3158256,Jacques Bernard@ar,ar,,,أستاذ جامعي,1658-09-01,1718-04-27,60
http://www.wikidata.org/entity/Q4684792,Adriaen Foly@ar,ar,,,رسام دنماركي,1664-01-01,1701-01-01,37
http://www.wikidata.org/entity/Q449530,ماغنوس_ستينبوك@ar,ar,,,قائد عسكري سويدي,1665-05-22,1717-02-23,52
http://www.wikidata.org/entity/Q55673672,Nicolaus Hasius@ar,ar,,,أستاذ جامعي,1665-11-25,1715-07-26,50
http://www.wikidata.org/entity/Q65850050,Johannes van Schelle@ar,ar,,,أستاذ جامعي,1723-11-05,1762-06-24,39
http://www.wikidata.org/entity/Q15452953,Hermannus Scholten@ar,ar,,,أستاذ جامعي,1726-05-28,1783-10-10,57
http://www.wikidata.org/entity/Q15452564,Didericus van der Kemp@ar,ar,,,أستاذ جامعي,1731-12-14,1780-08-04,49
http://www.wikidata.org/entity/Q55679212,Gerardus Johannes Nahuijs@ar,ar,,,أستاذ جامعي,1738-02-01,1781-10-09,43
