,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
0,http://www.wikidata.org/entity/Q305795,أبو القاسم بن عباد,ar,ʔbw aːlqaːlʔaːsm bn ʕbaːd bn ʕbaːd,أبا القاسم بن عباد,مؤسس سلالة بني عباد، التي أقامت دولة في جنوب الأندلس,0984-01-01,1042-01-01,58,"{""name_part_0"": ""ʔbw"", ""name_part_1"": ""aːlqaːlʔaːsm"", ""name_part_2"": ""bn"", ""name_part_3"": ""ʕbaːd"", ""name_part_4"": ""bn"", ""name_part_5"": ""ʕbaːd""}"
1,http://www.wikidata.org/entity/Q1029682,غلبرت درينغوت,ar,ɣlbrt dreːnɣuːt,,,0985-01-01,1018-10-01,33,"{""name_part_0"": ""ɣlbrt"", ""name_part_1"": ""dreːnɣuːt""}"
2,http://www.wikidata.org/entity/Q1029688,أوزموند درينغوت,ar,ʔawzmoːnd dreːnɣuːt,,,0985-01-01,1018-10-01,33,"{""name_part_0"": ""ʔawzmoːnd"", ""name_part_1"": ""dreːnɣuːt""}"
3,http://www.wikidata.org/entity/Q232039,جيزيلا البافارية,ar,dʒeːzjlaː aːlbaːfaːriːa,جيزيلا  المجرية,ملكة المجر القرينة,0985-01-01,1033-01-01,48,"{""name_part_0"": ""dʒeːzjlaː"", ""name_part_1"": ""aːlbaːfaːriːa""}"
4,http://www.wikidata.org/entity/Q296652,سانشو الثالث ملك نافارا,ar,saːnʃuː aːlθaːlθ mlk naːfaːraː,شانجة الأكبر,,0985-01-01,1035-10-18,50,"{""name_part_0"": ""saːnʃuː"", ""name_part_1"": ""aːlθaːlθ"", ""name_part_2"": ""mlk"", ""name_part_3"": ""naːfaːraː""}"
5,http://www.wikidata.org/entity/Q542064,رادبوت من كليتغاو,ar,raːdbwt mn klajtɣaːw,,,0985-01-01,1045-01-01,60,"{""name_part_0"": ""raːdbwt"", ""name_part_1"": ""mn"", ""name_part_2"": ""klajtɣaːw""}"
6,http://www.wikidata.org/entity/Q615555,حمزة بن علي بن أحمد,ar,ħmzt bn ʕleː bn ʔ|uħmd,,مؤسس مذهب الموحدون الدروز,0985-01-01,1021-01-01,36,"{""name_part_0"": ""ħmzt"", ""name_part_1"": ""bn"", ""name_part_2"": ""ʕleː"", ""name_part_3"": ""bn"", ""name_part_4"": ""ʔ|uħmd""}"
7,http://www.wikidata.org/entity/Q708539,رالف غلابر,ar,raːlf ɣlaːbr,,مؤرخ فرنسي,0985-01-01,1047-01-01,62,"{""name_part_0"": ""raːlf"", ""name_part_1"": ""ɣlaːbr""}"
8,http://www.wikidata.org/entity/Q342137,الحاكم بأمر الله,ar,ħaːkm bʔmr aːllh,أبو علي المنصور,سادس الخلفاء الفاطميين (حكم 386 – 411هـ / 996 – 1021م),0985-08-18,1021-02-13,36,"{""name_part_0"": ""ħaːkm"", ""name_part_1"": ""bʔmr"", ""name_part_2"": ""aːllh""}"
9,http://www.wikidata.org/entity/Q5260727,أوجيف من لوكسمبورغ,ar,a:awʒajf mn lwksmbwrɣ,,,0986-01-01,1030-02-21,44,"{""name_part_0"": ""a:awʒajf"", ""name_part_1"": ""mn"", ""name_part_2"": ""lwksmbwrɣ""}"
10,http://www.wikidata.org/entity/Q124744341,ابن خَزْرَج,ar,aːbn x_zr_ʒ,إسماعيل بن محمد بن خزرج,فاضل أندلسي، رحل إلى قرطبة وإلى المشرق، وجاور بمكة,0987-01-01,1030-01-01,43,"{""name_part_0"": ""aːbn"", ""name_part_1"": ""x_zr_ʒ""}"
11,http://www.wikidata.org/entity/Q4702776,الحسين بن القاسم,ar,ħseːn bn aːlqn bn aːlʔaːsm,,,0987-01-01,1013-01-01,26,"{""name_part_0"": ""ħseːn"", ""name_part_1"": ""bn"", ""name_part_2"": ""aːlqn"", ""name_part_3"": ""bn"", ""name_part_4"": ""aːlʔaːsm""}"
12,http://www.wikidata.org/entity/Q188684,إدموند أيرونسايد,ar,ʔdmuːnd ʔajrawnsaːajd,,ملك إنجلترا(من 23 أبريل - 18 أكتوبر 1016) ثم ملك وسكس (من 23 أبريل - 30 نوفمبر 1016),0988-01-01,1016-11-30,28,"{""name_part_0"": ""ʔdmuːnd"", ""name_part_1"": ""ʔajrawnsaːajd""}"
13,http://www.wikidata.org/entity/Q4267,أديمار شابان,ar,a:djmaːr ʃaːbaːn,,,0988-01-01,1034-01-01,46,"{""name_part_0"": ""a:djmaːr"", ""name_part_1"": ""ʃaːbaːn""}"
14,http://www.wikidata.org/entity/Q62033,جيزيلا من شوابيا,ar,dʒeːzjlaː mn ʃoːaːbjaː,,,0989-11-16,1043-02-15,54,"{""name_part_0"": ""dʒeːzjlaː"", ""name_part_1"": ""mn"", ""name_part_2"": ""ʃoːaːbjaː""}"
15,http://www.wikidata.org/entity/Q152256,كونراد الثاني,ar,kuːnraːd aːlθaːnaj,,ملك سابق على الإمبراطورية الرومانية المقدسة,0990-01-01,1039-06-04,49,"{""name_part_0"": ""kuːnraːd"", ""name_part_1"": ""aːlθaːnaj""}"
16,http://www.wikidata.org/entity/Q312775,صموئيل آبا,ar,sˤmoːʔjl ʔ|aːbaː,,,0990-01-01,1044-07-11,54,"{""name_part_0"": ""sˤmoːʔjl"", ""name_part_1"": ""ʔ|aːbaː""}"
17,http://www.wikidata.org/entity/Q335966,مروان بن جناح,ar,mrwaːn bn gnaːħ,,,0990-01-01,1050-01-01,60,"{""name_part_0"": ""mrwaːn"", ""name_part_1"": ""bn"", ""name_part_2"": ""gnaːħ""}"
18,http://www.wikidata.org/entity/Q366841,يوفان فلاديمير,ar,eːawfaːn flaːdiːmjr,,,0990-01-01,1016-05-28,26,"{""name_part_0"": ""eːawfaːn"", ""name_part_1"": ""flaːdiːmjr""}"
19,http://www.wikidata.org/entity/Q559516,رينولف درينغوت,ar,riːnuːlf dreːnɣuːt,,,0990-01-01,1045-01-01,55,"{""name_part_0"": ""riːnuːlf"", ""name_part_1"": ""dreːnɣuːt""}"
