id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age
http://www.wikidata.org/entity/Q305795,أبو القاسم بن عباد@ar,ar,ʔbw aːlqaːlʔaːsm bn ʕbaːd bn ʕbaːd,أبا القاسم بن عباد,مؤسس سلالة بني عباد، التي أقامت دولة في جنوب الأندلس,0984-01-01,1042-01-01,58
http://www.wikidata.org/entity/Q1029682,غلبرت درينغوت@ar,ar,ɣlbrt dreːnɣuːt,,,0985-01-01,1018-10-01,33
http://www.wikidata.org/entity/Q1029688,أوزموند درينغوت@ar,ar,ʔawzmoːnd dreːnɣuːt,,,0985-01-01,1018-10-01,33
http://www.wikidata.org/entity/Q232039,جيزيلا البافارية@ar,ar,dʒeːzjlaː aːlbaːfaːriːa,جيزيلا  المجرية,ملكة المجر القرينة,0985-01-01,1033-01-01,48
http://www.wikidata.org/entity/Q296652,سانشو الثالث ملك نافارا@ar,ar,saːnʃuː aːlθaːlθ mlk naːfaːraː,شانجة الأكبر,,0985-01-01,1035-10-18,50
http://www.wikidata.org/entity/Q542064,رادبوت من كليتغاو@ar,ar,raːdbwt mn klajtɣaːw,,,0985-01-01,1045-01-01,60
http://www.wikidata.org/entity/Q615555,حمزة بن علي بن أحمد@ar,ar,ħmzt bn ʕleː bn ʔ|uħmd,,مؤسس مذهب الموحدون الدروز,0985-01-01,1021-01-01,36
http://www.wikidata.org/entity/Q708539,رالف غلابر@ar,ar,raːlf ɣlaːbr,,مؤرخ فرنسي,0985-01-01,1047-01-01,62
http://www.wikidata.org/entity/Q342137,الحاكم بأمر الله@ar,ar,ħaːkm bʔmr aːllh,أبو علي المنصور,سادس الخلفاء الفاطميين (حكم 386 – 411هـ / 996 – 1021م),0985-08-18,1021-02-13,36
http://www.wikidata.org/entity/Q5260727,أوجيف من لوكسمبورغ@ar,ar,a:awʒajf mn lwksmbwrɣ,,,0986-01-01,1030-02-21,44
http://www.wikidata.org/entity/Q124744341,ابن خَزْرَج@ar,ar,aːbn x_zr_ʒ,إسماعيل بن محمد بن خزرج,فاضل أندلسي، رحل إلى قرطبة وإلى المشرق، وجاور بمكة,0987-01-01,1030-01-01,43
http://www.wikidata.org/entity/Q4702776,الحسين بن القاسم@ar,ar,ħseːn bn aːlqn bn aːlʔaːsm,,,0987-01-01,1013-01-01,26
http://www.wikidata.org/entity/Q188684,إدموند أيرونسايد@ar,ar,ʔdmuːnd ʔajrawnsaːajd,,ملك إنجلترا(من 23 أبريل - 18 أكتوبر 1016) ثم ملك وسكس (من 23 أبريل - 30 نوفمبر 1016),0988-01-01,1016-11-30,28
http://www.wikidata.org/entity/Q4267,أديمار شابان@ar,ar,a:djmaːr ʃaːbaːn,,,0988-01-01,1034-01-01,46
http://www.wikidata.org/entity/Q62033,جيزيلا من شوابيا@ar,ar,dʒeːzjlaː mn ʃoːaːbjaː,,,0989-11-16,1043-02-15,54
http://www.wikidata.org/entity/Q152256,كونراد الثاني@ar,ar,kuːnraːd aːlθaːnaj,,ملك سابق على الإمبراطورية الرومانية المقدسة,0990-01-01,1039-06-04,49
http://www.wikidata.org/entity/Q312775,صموئيل آبا@ar,ar,sˤmoːʔjl ʔ|aːbaː,,,0990-01-01,1044-07-11,54
http://www.wikidata.org/entity/Q335966,مروان بن جناح@ar,ar,mrwaːn bn gnaːħ,,,0990-01-01,1050-01-01,60
http://www.wikidata.org/entity/Q366841,يوفان فلاديمير@ar,ar,eːawfaːn flaːdiːmjr,,,0990-01-01,1016-05-28,26
http://www.wikidata.org/entity/Q559516,رينولف درينغوت@ar,ar,riːnuːlf dreːnɣuːt,,,0990-01-01,1045-01-01,55
http://www.wikidata.org/entity/Q5670642,سلجوق بن دقاق@ar,ar,slʒuːq bn dqʒuːʔ bn dʔaːq,سلجوق بك,قائد قبيلة من قبائل الغز الأتراك ومؤسس سلالة السلاجقة,0990-01-01,1038-01-01,48
http://www.wikidata.org/entity/Q73282,يونغكي اريبويو@ar,ar,iːwnɣkj aːreːbwjaw,,قس ألماني,0990-01-01,1031-04-12,41
http://www.wikidata.org/entity/Q753277,جلال الدولة@ar,ar,glaːl aːlduːla,,,0990-01-01,1044-01-01,54
http://www.wikidata.org/entity/Q28468,ميشكة الثاني@ar,ar,majʃka aːlθaːnaj,,ملك بولوني,0990-01-01,1034-05-11,44
http://www.wikidata.org/entity/Q47179,إيرلانغا@ar,ar,ʔ|iiːrlaːnɣaː,,,0991-01-01,1049-01-01,58
http://www.wikidata.org/entity/Q12182778,ابن شهيد@ar,ar,aːbn ʃheːd,عبد الملك بن أحمد بن عبد الملك بن شهيد القرطبي أبو مروان,وزير وشاعر أندلسي,0992-01-01,1035-01-01,43
http://www.wikidata.org/entity/Q124743569,ابن شُهَيْد الأَشْجَعي@ar,ar,aːbn ʃ_h_eːd aːlʔ|u_ʃg_ʕaj,أحمد بن عبد الملك بن أحمد بن شهيد,وزير وشاعر من كبار الأندلسيين أدبا وعلما,0992-01-01,1035-01-01,43
http://www.wikidata.org/entity/Q124771254,الغالِب بلله@ar,ar,ɣaːlib bllh,محمد الغالب باللَّه بن أحمد القادر باللَّه,وَليّ عهد وابن الخليفة العباسي القادم بالله، توفي قبل أن يلي الخلافة,0992-01-01,1019-01-01,27
http://www.wikidata.org/entity/Q192238,غيدو الأريتسوي@ar,ar,ɣiːduː aːlʔ|areːtsoːj,,,0992-01-01,1050-01-01,58
http://www.wikidata.org/entity/Q3147459,ابن شُهيد@ar,ar,aːbn ʃ_heːd,,,0992-01-01,1035-04-17,43
http://www.wikidata.org/entity/Q493736,هيونجونغ ملك غوريو@ar,ar,hajwnʒwnɣ mlk ɣawrjuː,,,0992-08-06,1031-06-23,39
http://www.wikidata.org/entity/Q659354,سلطان الدولة@ar,ar,sltˤaːn aːlduːla,,,0993-01-01,1024-12-01,31
http://www.wikidata.org/entity/Q753475,مجد الدولة@ar,ar,mʒd aːlduːla,,,0993-01-01,1029-01-01,36
http://www.wikidata.org/entity/Q124746028,المَهْدي العِيَاني@ar,ar,m_hdj aːlʕieː_aːniː,الحسين بن القاسم بن علي العياني,إمام زيدي في اليمن، قام بالإمامة بعد أبيه وقتل في البوْن,0994-01-01,1013-01-01,19
http://www.wikidata.org/entity/Q134128,كنوت العظيم@ar,ar,knwt aːlʕzˤiːm,,ملك سابق على الدانمارك والنرويج,0994-01-01,1035-11-12,41
http://www.wikidata.org/entity/Q283561,ألفونسو الخامس ملك ليون@ar,ar,ʔlfoːnsuː aːlxaːms mlk liːuːn,,,0994-01-01,1028-08-07,34
