id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age
http://www.wikidata.org/entity/Q232039,גיזלה מבוואריה@he,he,ɡizla mboʔʁia,,"נסיכה גרמניה, מלכה-רעיה הונגרית",0985-01-01,1033-01-01,48
http://www.wikidata.org/entity/Q296652,"סנצ'ו השלישי, מלך נווארה@he",he,sntso hʃliʃi mlχ noʔra,,,0985-01-01,1035-10-18,50
http://www.wikidata.org/entity/Q542064,"ראדבוט, רוזן הבסבורג@he",he,ʁʔdbot rozn hbsborɡ,,אציל גרמני,0985-01-01,1045-01-01,60
http://www.wikidata.org/entity/Q615555,חמזה בן-עלי@he,he,χmza bnʔli,,ממפיצי הדת הדרוזית,0985-01-01,1021-01-01,36
http://www.wikidata.org/entity/Q708539,רדולפוס גלאבר@he,he,rdolfos ɡlʔbʁ,ראול רדולפוס גלאבר,היסטוריון צרפתי,0985-01-01,1047-01-01,62
http://www.wikidata.org/entity/Q342137,אל-חאכם באמר אללה@he,he,ʔlχʔχm bʔmʁ ʔlla,אל-מנצור בן נזאר,ח'ליפה פאטמי,0985-08-18,1021-02-13,36
http://www.wikidata.org/entity/Q31647,בזפרים@he,he,bzfrim,,,0986-01-01,1032-01-01,46
http://www.wikidata.org/entity/Q188684,"אדמונד השני, מלך אנגליה@he",he,ʔdmond hʃni mlχ ʔŋlia,אדמונד השני מאנגליה,מלך אנגליה,0988-01-01,1016-11-30,28
http://www.wikidata.org/entity/Q4267,אדמר משאבן@he,he,ʔdmr mʃʔbn,,נזיר וכרוניקן צרפתי (988–1034 בערך),0988-01-01,1034-01-01,46
http://www.wikidata.org/entity/Q62033,גיסלה משוואביה@he,he,ɡisla mʃoʔbia,,,0989-11-16,1043-02-15,54
http://www.wikidata.org/entity/Q152256,"קונראד השני, קיסר האימפריה הרומית הקדושה@he",he,konrʔd hʃni qisʁ hʔimfʁia hʁomit hqdoʃa,,קיסר האימפריה הרומית הקדושה,0990-01-01,1039-06-04,49
http://www.wikidata.org/entity/Q312775,"שמואל אבא, מלך הונגריה@he",he,ʃmoʔl ʔbʔ mlχ hoŋʁia,,,0990-01-01,1044-07-11,54
