id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age
http://www.wikidata.org/entity/Q9546,אַל־גאַזאַלי,he,ʔlɡʔzʔli,,פערסישער מוסולמענער פילאסאף און יוריסט,1056-01-01,1111-12-26,55
http://www.wikidata.org/entity/Q318820,בנימן טודעלענס,he,bnimn todʔlʕns,,,1130-01-01,1174-01-01,44
http://www.wikidata.org/entity/Q714595,גיארגי דער פערטער לאשא,he,ɡiʔrɡi dʕʁ fʔrtʕʁ lʔʃʔ,,גרוזיניעשער מלך,1191-01-01,1223-01-01,32
http://www.wikidata.org/entity/Q239486,"דייוויד דער צווייטער, מלך פון שאטלאנד",he,diivid dʕʁ tsoiitʕʁ mlχ fon ʃʔtlʔnd,"דעיוויד דער צווייטער, מלך פון שאטלאנד",,1324-03-05,1371-02-22,47
http://www.wikidata.org/entity/Q61809176,Orso Orsini,en,ˈɔːsəʊ ˈɔːsiːnɪ,,,1404-01-01,1424-07-28,20
http://www.wikidata.org/entity/Q7226,זשאן ד'ארק,he,zʃʔn dʔrq,,,1412-01-01,1431-06-08,19
http://www.wikidata.org/entity/Q47674,אמעריגא וועספוטשי,he,ʔmʔʁiɡʔ vosfvtʃi,אמעריגאָ וועספוטשי,,1454-03-18,1512-03-03,58
http://www.wikidata.org/entity/Q675493,הענרי דער זיבעטער,he,hʔnʁi dʕʁ zibʔtʔʁ,,מלך פון ענגלאנד,1457-01-28,1509-04-21,52
http://www.wikidata.org/entity/Q207953,עליזאבעט פון יארק,he,ʕlizʔvʔt fon jʔrk,,,1466-02-20,1503-02-21,37
http://www.wikidata.org/entity/Q711801,"ארטור, פרינץ פון וויילס",he,ʔrtoʁ fʁints fon voils,ארטור טיודאר,,1486-09-29,1502-04-02,16
http://www.wikidata.org/entity/Q1949189,"רמ""א",he,ʁmʔ,משה איסערלס,,1520-03-03,1572-05-20,52
http://www.wikidata.org/entity/Q733598,משה קארדאווערא,he,mʃa qʔʁdʔoʔrʔ,"רמ""ק",די רמ״ק - איינער פון די הויפט מקובלים,1522-01-01,1570-07-07,48
http://www.wikidata.org/entity/Q339509,"אר""י הקדוש",he,ʔʁi hkdoʃ,,,1534-01-01,1572-08-04,38
http://www.wikidata.org/entity/Q5362047,אליהו בעל שם פֿון װירמײַזא,he,ʔliho bʕl ʃm fvn jʁmzʔ,,,1536-01-01,1583-01-01,47
http://www.wikidata.org/entity/Q83229,עדווארד דער זעקסטער,he,ʔdoʔrd dʕʁ zʔkstʕʁ,,מלך פון ענגלאנד,1537-10-22,1553-07-16,16
http://www.wikidata.org/entity/Q166675,געארג ווילהעלם,he,ɡʔʔʁɡ vilhʔlm,,"עלעקטאר און מארגראוו פון בראנדנבורג, הערצאג פון פרייסן",1595-11-13,1640-12-01,45
http://www.wikidata.org/entity/Q9191,רענע דעקארט,he,ʁʕnʕ dʕkʔʁt,,,1596-03-31,1650-02-11,54
http://www.wikidata.org/entity/Q122392,יאקאב בערנולי,he,jʔkʔv bʔrnoli,,,1654-12-27,1705-08-16,51
http://www.wikidata.org/entity/Q87093,"שארל, עלעקטאר־פרינץ פון בראנדנבורג",he,ʃʔrl ʕlʔktʔrfrints fon brʔndnvorɡ,,,1655-02-16,1674-12-07,19
http://www.wikidata.org/entity/Q151826,פרידריך דער ערשטער פון פרייסן,he,fʁidriχ dʕʁ ʕrʃtʕr fon friisn,,,1657-07-11,1713-02-25,56
http://www.wikidata.org/entity/Q5750050,חזקיה סילוא,he,χzqia siloʔ,,,1659-01-01,1698-01-01,39
http://www.wikidata.org/entity/Q244519,צבי הירש אשכנזי,he,tsvi hirʃ ʔʃχnzi,,,1660-01-01,1718-05-03,58
http://www.wikidata.org/entity/Q2908900,יהודה החסיד,he,jhoda hħsid,,"פוילישער רב, האט זיך באזעצט אין ירושלים",1660-01-01,1700-10-17,40
http://www.wikidata.org/entity/Q130812,מאריא די צווייטע פון ענגלאַנד,he,mʔrja di tsoiitʔ fon ʕŋlʔnd,,,1662-05-10,1695-01-07,33
http://www.wikidata.org/entity/Q4684792,Adriaen Foly,en,ˈædɻɪən̩ fˈəʊlɪ,,,1664-01-01,1701-01-01,37
http://www.wikidata.org/entity/Q1686098,יחיאל מיכל פון זלאטשאוו,he,jħiʔl miχl fon zlʔtʃʔo,,,1725-01-01,1781-01-01,56
http://www.wikidata.org/entity/Q7220725,"צבי הערש, זון פונעם בעל שם טוב",he,tsvi hʔrʃ zon fonʕm bʕl ʃm tov,,,1725-01-01,1779-12-12,54
http://www.wikidata.org/entity/Q1351984,שמואל שמעלקא הורוויץ,he,ʃmoʔl ʃmʕlkʔ hoʁvits,,,1726-01-01,1778-04-28,52
http://www.wikidata.org/entity/Q7324,דזשיימס קוק,he,dzʃiims qoq,,,1728-10-27,1779-02-14,51
http://www.wikidata.org/entity/Q76997,משה מענדלסאן,he,mʃa mʕndlsʔn,משה מענדלסאהן,באקאנטער דייטשער משכיל,1729-09-06,1786-01-04,57
http://www.wikidata.org/entity/Q2857943,אהרן פון קארלין,he,ʔhʁn fon kʔrlin,רבי אהרן הגדול,רבי אהרן קארלינער,1736-01-01,1771-01-01,35
http://www.wikidata.org/entity/Q2874500,אברהם המלאך,he,ʔvʁhm hmlʔχ,,,1739-01-01,1776-09-25,37
