id	matches	title	title_source	title_uri	start	source_firstName	source_surname	alternative-name	gender	description	link-base	name_parts
yt/lex/A/abdul.htm		Abdul	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abdul.htm	1850.0		Abdul 	Abdul	2.0	"Abdul Born in Stambul [Istanbul], he was allowed to perform there in the Yiddish theatre with ""amateurs,"" as well as sing Turkish and Yiddish songs in cabarets.In 1900 he came to Kavkaz (Caucasus - ed.) and, owning a Turkish ""pass, was given the right to live throughout the entirety of Russia.He traveled around with Kompaneyets and later with other troupes"	yt/lex/A/abdul.htm	"{""given-name"": ""Abdul"", ""alternative-name.1"": ""Abdul"", ""surname"": ""Abdul ""}"
yt/lex/A/abelman-mordechai.htm		Mordechai Abelman	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abelman-mordechai.htm	1850.0	 Mordechai 	Abelman Abelman		2.0	Mordechai Abelman Born on 25 May 1909 in Warsaw.As a youth he connected with a Yiddish dramatic circle, where he demonstrated an ability for the stage.For a long time he played in Warsaw under the auspices of Jacob and Leah Rotbaum	yt/lex/A/abelman-mordechai.htm	"{""given-name"": ""Mordechai"", ""surname"": ""Abelman Abelman""}"
moyt/lex/A/abelman-tsipa-V5.htm		Tsipa Abelman	Laski	https://www.museumoffamilyhistory.com/moyt/lex/A/abelman-tsipa-V5.htm	1850.0	 Tsipa 	Abelman Abelman			"Tsipa Abelman Tsipa was the wife of the famous singer-actor Benny Abelman.According to Itzhak Fishelewitz, she was a tailor and worked in a factory, and only for a short time acted on the Yiddish stage.When she was in America at the start of the twenties, where she acted with her husband in Yiddish vaudeville houses, she published an article in the ""Forward"" an article on 11 May 1905 under the name ""Lozt men tsu naye aktorn?"" Returning to Poland, she participated in 1908 in the production of Jacob Gordin's ""Brothers Lurie,"" and Noakh Prilutski writes about her acting: ""Frau Abelman (Sarah-Devorah)--not with much talent--but acts consistently with might and a great deal of endurance, and that in a rare appearance on the Yiddish stage."" When a cry went out in Warsaw for Abelman to act, she toured throughout the province with her husband, where she used to perform with concerts or with Hebrew evenings for ""krn hisud"" activities"	moyt/lex/A/abelman-tsipa-V5.htm	"{""given-name"": ""Tsipa"", ""surname"": ""Abelman Abelman""}"
moyt/lex/A/abelson-ben-zion-V5.htm		Ben-Zion Abelson	Laski	https://www.museumoffamilyhistory.com/moyt/lex/A/abelson-ben-zion-V5.htm	1850.0	 Ben-Zion 	Abelson Abelson		2.0	Ben-Zion Abelson Descended from Vilna, Polish-Lithuania.According to the actor Zalmen Koleshnikov, from 1933 to 1937 A.performed in his itinerant troupe across Poland	moyt/lex/A/abelson-ben-zion-V5.htm	"{""given-name"": ""Zion"", ""surname"": ""Abelson Abelson"", ""patronymic"": ""Ben-Zion""}"
yt/lex/A/aberman-isaac.htm		Isaac Aberman	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/aberman-isaac.htm	1850.0	 Isaac 	Aberman Aberman		2.0	Isaac Aberman (Haber) Born on 7 October 1882 in Iasi, Romania.His parents were wine merchants.He studied in a cheder and later in a commercial school	yt/lex/A/aberman-isaac.htm	"{""given-name"": ""Isaac"", ""surname"": ""Aberman Aberman""}"
yt/lex/A/abragam-ida.htm		Ida Abragam	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abragam-ida.htm	1850.0	 Ida 	Abragam Abragam		3.0	Ida Abragam (Feltenshteyn) She was born on 30 July 1884 in Dvinsk, Latvia.Her father was an employed merchant.She was educated in Berlin	yt/lex/A/abragam-ida.htm	"{""given-name"": ""Ida"", ""surname"": ""Abragam Abragam""}"
yt/lex/A/abramov-a.htm		A. Abramov	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-a.htm	1850.0	 A. 	Abramov Abramov			A.Abramov (Abram Kogan) A.was born on 2 February 1893 in Kishinev, Bessarabia	yt/lex/A/abramov-a.htm	"{""given-name"": ""A."", ""surname"": ""Abramov Abramov""}"
yt/lex/A/abramov-adolf.htm		Adolf Abramov	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-adolf.htm	1850.0	 Adolf 	Abramov Abramov		2.0	Adolf Abramov (Abraham Perkoff) P.was born on 21 June 1860 in Boslav, Ukraine.A stepbrother of Yitzhak Perkoff, he received a traditional Jewish education, learning Gemorah with tutors	yt/lex/A/abramov-adolf.htm	"{""given-name"": ""Adolf"", ""surname"": ""Abramov Abramov""}"
yt/lex/A/abramov-boris.htm		Boris Abramov	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-boris.htm	1850.0	 Boris 	Abramov Abramov		2.0	Boris Abramov (Feynland) Born in Akkerman, Bessarabia, to not-well-off parents.Father -- a printer and a bookbinder.The children: five sons and two daughters, who learned a lot from their books that their father had bound	yt/lex/A/abramov-boris.htm	"{""given-name"": ""Boris"", ""surname"": ""Abramov Abramov""}"
yt/lex/A/abramov-mary.htm		Mary Abramov	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramov-mary.htm	1850.0	 Mary 	Abramov Abramov		3.0	"Mary Abramov (Miriam Eynhorn) Born in Radomysl, Kiev Gubernia, Ukraine.Father had traded in lumber and grain and was the owner of the local ""Pilsner Beer Brewery"".Still in school she manifested a great desire to sing and dance and was the darling of the town"	yt/lex/A/abramov-mary.htm	"{""given-name"": ""Mary"", ""surname"": ""Abramov Abramov""}"
yt/lex/A/abramov.htm		Abramov	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramov.htm	1850.0		Abramov  Abramov				yt/lex/A/abramov.htm	"{""surname"": ""Abramov  Abramov""}"
yt/lex/A/abramovich-bina.htm		Bina Abramovich	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramovich-bina.htm	1850.0	 Bina 	Abramovich Abramovich			Bina Abramovich (Fuks) Born on Simchas Torah, 30 Oct 1865, in Saratov Russia.Her father was a cantonist soldier who served under forced impression dictated by the ukase of Czar Nicholas I, and he was a tailor.Her parents had taken up residence in Nikolayev, but in the meantime, expulsion of the Jews took place, which was applicable even to cantonist soldiers who were normally exempt from such overtly anti-Semitic provisions	yt/lex/A/abramovich-bina.htm	"{""given-name"": ""Bina"", ""surname"": ""Abramovich Abramovich""}"
yt/lex/A/abramovich-max.htm		Max Abramovich	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramovich-max.htm	1850.0	 Max 	Abramovich Abramovich			Max Abramovich (Mendl) A.was born circa 1859 in Odessa, Ukraine.His father was the proprietor of a shoe store, never working by himself because he had a deep desire to wander, and he visited Turkey and other lands	yt/lex/A/abramovich-max.htm	"{""given-name"": ""Max"", ""surname"": ""Abramovich Abramovich""}"
yt/lex/A/abramovits-ch-e.htm		Ch.E. Abramovits	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramovits-ch-e.htm	1850.0	 Ch.E. 	Abramovits Abramovits			Ch.E.Abramovits No biographical data about her can be found anywhere.Known to be from Vilna	yt/lex/A/abramovits-ch-e.htm	"{""given-name"": ""Ch.E."", ""surname"": ""Abramovits Abramovits""}"
yt/lex/A/abramovitsh-chaim.htm		Chaim Abramovitsh	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramovitsh-chaim.htm	1850.0	 Chaim 	Abramovitsh Abramovitsh		2.0	Chaim Abramovitsh An Odesser, he was for seven years a singer in the Vienna wine cellars.He had a beautiful tenor voice and was very well-known in his time.He immigrated to Constantinople where he worked for cigarettes	yt/lex/A/abramovitsh-chaim.htm	"{""given-name"": ""Chaim"", ""surname"": ""Abramovitsh Abramovitsh""}"
yt/lex/A/abramovitsh-isaak.htm		Isaak Abramovitsh	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramovitsh-isaak.htm	1850.0	 Isaak 	Abramovitsh Abramovitsh		2.0	Izaak Abramovitsh A.was born on 10 May 1873 in Falticeni, Rumania, as the sole child of Orthodox parents, who gave him a Talmudic education, but at the age of fifteen he acquainted himself with Mikhal Avraham Khayim Khats, and then opened for him the world of Haskalah.A	yt/lex/A/abramovitsh-isaak.htm	"{""given-name"": ""Isaak"", ""surname"": ""Abramovitsh Abramovitsh""}"
yt/lex/A/abrams-adolph.htm		Adolph Abrams	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abrams-adolph.htm	1850.0	 Adolph 	Abrams Abrams		2.0	Adolph Abrams Born on 15 February 1865 in Iasi, Romania, he studied in a cheder, graduating from a primary school and a two-class gymnasium.He was a bookkeeper in a banking business, and afterwards became a teacher of German, Yiddish and Romanian.In 1900 he came to Chicago, peddled there for a few months, made little money from that, and subsequently assembled a troupe to travel throughout the province	yt/lex/A/abrams-adolph.htm	"{""given-name"": ""Adolph"", ""surname"": ""Abrams Abrams""}"
yt/lex/A/abrams-david.htm		David Abrams	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abrams-david.htm	1850.0	 David 	Abrams Abrams		2.0	David Abrams Born on 28 April 1884 in Tiraspol, Ukraine.At the age of eight he entered into R' Hershel's Yeshiva in Uman and learned in a Talner circle.In 1896 he immigrated with his family to London, where A	yt/lex/A/abrams-david.htm	"{""given-name"": ""David"", ""surname"": ""Abrams Abrams""}"
yt/lex/A/abramski-g.htm		G. Abramski	Laski	https://www.museumoffamilyhistory.com/yt/lex/A/abramski-g.htm	1850.0	 G. 	Abramski Abramski			"G.Abramski Biographical data -- unknown.In ""Kol mbshr"", (39) from 1869 there was found a correspondent under the name of ""Simchas Torah"", where he studied with an old meskhilim Shteyger in the shtetl N"	yt/lex/A/abramski-g.htm	"{""given-name"": ""G."", ""surname"": ""Abramski Abramski""}"
