start,id,lon,geo_id,geowkt,lat,title,geo_source,title_source,name_parts
1850,temp_01,,,,,אַּבבּדול,,Zylbercweig Lexicon,"{""primary-name"": ""אַבּדול""}"
1850,temp_11,,,,,בּעני (בּרוך-משה) אבּעלמאַן,,Zylbercweig Lexicon,"{""given-name"": ""ברוך-משה"", ""alternative-name"": ""בּעני"", ""surname"": ""אבּעלמאַן""}"
1850,temp_21,,,,,ציפע (צפּורה) אַבּעלמאַן,,Zylbercweig Lexicon,"{""primary-name"": ""ציפע"", ""alternative-name"": ""ציפּורה"", ""surname"": ""אַבּעלמאַן""}"
1850,temp_31,,,,,בּן-ציון אבּעלסאָן,,Zylbercweig Lexicon,"{""given-name"": ""ציון"", ""surname"": ""אבּעלסאָן"", ""patronymic"": ""בן""}"
1850,temp_41,,,,,אַדאָלף אַבּערבּערג,,Zylbercweig Lexicon,"{""given-name"": ""אַדאָלף"", ""surname"": ""אַבּערבּערג""}"
1850,temp_51,,,,,אַלעקסאַדער אַבּערלענדער,,Zylbercweig Lexicon,"{""given-name"": ""אַלעקסאַדער"", ""surname"": ""אַבּערלענדער""}"
1850,temp_61,,,,,יאָזעף אבּערלענדער,,Zylbercweig Lexicon,"{""given-name"": ""ייזעף"", ""surname"": ""אבּערלענדער""}"
1850,temp_71,,,,,סאָפיע אָבּערלענדער,,Zylbercweig Lexicon,"{""given-name"": ""סאָפיה"", ""surname"": ""אָבּערלענדער""}"
1850,temp_81,,,,,יצחק (האַבּער) אַבּערמאַן,,Zylbercweig Lexicon,"{""given-name"": ""יצחק"", ""alternative-name"": ""האַבּער"", ""surname"": ""אַבּערמאן""}"
1850,temp_91,,,,,ידא (פעלטענשטיין) אַבּראַגאַם,,Zylbercweig Lexicon,"{""given-name"": ""ידא"", ""alternative-name"": ""פעלטענשטיין"", ""surname"": ""אַבּראַגאַם""}"
1850,temp_101,,,,,אַבּראַמאָוו,,Zylbercweig Lexicon,"{""surname"": ""אַבּראַמאָוו""}"
1850,temp_111,,,,,א. (אברהם קאַגאַן) אַבּראַמאָוו,,Zylbercweig Lexicon,"{""given-name"": ""אברהם"", ""alternative-name"": ""קאַגאַן"", ""surname"": ""אַבּرאַמאָוו"", ""acronym"": ""א.""}"
1850,temp_121,,,,,אַדאָלף (אברהם פּערקאָף) אַבּראַמאָוו,,Zylbercweig Lexicon,"{""given-name"": ""אַדאָלף"", ""alternative-name"": ""אברהם פּערקאָף"", ""surname"": ""אַבּראַמאָוו""}"
1850,temp_131,,,,,בּאָריס (פיינלאַנד) אַבּראַמאָוו,,Zylbercweig Lexicon,"{""given-name"": ""בּאָריס"", ""alternative-name"": ""פיינלאַנד"", ""surname"": ""אַבּראַמאָוו""}"
1850,temp_141,,,,,מערי (מרים איינהאָרן) אַבּראַמאָוו,,Zylbercweig Lexicon,"{""given-name"": ""מרים"", ""alternative-name"": ""מערי"", ""surname"": ""אַבּראַמאָוו"", ""matronymic"": ""איינהאָרן""}"
1850,temp_151,,,,,איזאָק אַבּראַמאָוויטש,,Zylbercweig Lexicon,"{""given-name"": ""איזאָק"", ""surname"": ""אַבּראַמאָוויטש""}"
1850,temp_161,,,,,בּינע (פוקס) אַבּראַמאָוויטש,,Zylbercweig Lexicon,"{""given-name"": ""בּינע"", ""alternative-name"": ""פוקס"", ""surname"": ""אַבּראַמאָוויטש""}"
1850,temp_171,,,,,חיים אַבּראַמאָוויטש,,Zylbercweig Lexicon,"{""given-name"": ""חיים"", ""surname"": ""אבראמוביטש""}"
1850,temp_181,,,,,מאַקס (מענדל) אַבּראַמאָוויטש,,Zylbercweig Lexicon,"{""primary-name"": ""אַבּראַמאָוויטש"", ""given-name"": ""מאַקס"", ""alternative-name"": ""מענדל""}"
1850,temp_191,,,,,ח. ע. אַבּראַמאָוויץ,,Zylbercweig Lexicon,"{""surname"": ""אַבּראַמאָוויץ"", ""honorific"": ""ח. ע.""}"
1850,temp_201,,,,,אַדאָלף (אבּראַמאָוויטש) אַבּראמס,,Zylbercweig Lexicon,"{""given-name"": ""אַדאָלף"", ""alternative-name"": ""אבּראַמאָוויטש"", ""surname"": ""אַבּראמס""}"
1850,temp_211,,,,,אייוואַן אַבּראַמסאָן,,Zylbercweig Lexicon,"{""given-name"": ""אייוואַן"", ""surname"": ""אַבּראַמסאון""}"
1850,temp_221,,,,,ג. אַבּראַמסקי,,Zylbercweig Lexicon,"{""surname"": ""אַבּראַמסקי"", ""acronym"": ""ג.""}"
1850,temp_231,,,,,סעם (שמואל) אַגורסקי,,Zylbercweig Lexicon,"{""primary-name"": ""אגורסקי"", ""given-name"": ""שמואל"", ""alternative-name"": ""סעם""}"
1850,temp_241,,,,,סעם (שלמה) אַגעד,,Zylbercweig Lexicon,"{""given-name"": ""שלמה"", ""alternative-name"": ""סעם"", ""surname"": ""אַגעד""}"
1850,temp_251,,,,,אַדאָלפי,,Zylbercweig Lexicon,"{""given-name"": ""אַדאָלפי""}"
1850,temp_261,,,,,אסתר (שאַצקי) אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""אסתר"", ""alternative-name"": ""שאַצקי"", ""surname"": ""אַדלער""}"
1850,temp_271,,,,,בּעני אַדלער,,Zylbercweig Lexicon,"{""primary-name"": ""בּעני אַדלר"", ""given-name"": ""בּעני"", ""surname"": ""אַדלר""}"
1850,temp_281,,,,,דזשוליא אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""דזשוליא"", ""surname"": ""אַדלער""}"
1850,temp_291,,,,,דזשוליוס אַדלער,,Zylbercweig Lexicon,"{""primary-name"": ""דזשוליוס אַדלער"", ""given-name"": ""דזשוליוס"", ""surname"": ""אַדלער""}"
1850,temp_301,,,,,היימאַן (בּאַרטפעלד) אַדלער,,Zylbercweig Lexicon,"{""primary-name"": ""היימאַן"", ""alternative-name"": ""בּאַרטפעלד"", ""surname"": ""אַדלער""}"
1850,temp_311,,,,,יוזשע אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""יוזשע"", ""surname"": ""אדלער""}"
1850,temp_321,,,,,יוליוס אַדלער,,Zylbercweig Lexicon,"{""primary-name"": ""יוליוס אַדלר"", ""given-name"": ""יוליוס"", ""surname"": ""אַדלר""}"
1850,temp_331,,,,,יעקב פּ. (יעקב בּן פּנחס) אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""יעקב"", ""alternative-name"": ""יעקב"", ""surname"": ""אַדלר"", ""patronymic"": ""בן פנחס""}"
1850,temp_341,,,,,ירמיהו (גאָלדענבּערג-טווערסקי) אַדלער,,Zylbercweig Lexicon,"{""primary-name"": ""ירמיהו"", ""alternative-name"": ""גאָלדענבּערג-טווערסקי"", ""surname"": ""אַדלער""}"
1850,temp_351,,,,,ישראל אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""ישראל"", ""surname"": ""אַדלר""}"
1850,temp_361,,,,,סטעלאַ אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""סטעלאַ"", ""surname"": ""אדלער""}"
1850,temp_371,,,,,סעם אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""סעם"", ""surname"": ""אדלר""}"
1850,temp_381,,,,,היינע-היימאָוויאש),,Zylbercweig Lexicon,"{""primary-name"": ""היינע-היימאָוויאש""}"
1850,temp_391,,,,,עמיליע (שרה-מילקע שטאַנג) אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""עמיליע"", ""alternative-name"": ""שרה-מילקע"", ""surname"": ""אדלער""}"
1850,temp_401,,,,,פרענציס אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""פרענציס"", ""surname"": ""אדלער""}"
1850,temp_411,,,,,צילע אַדלער,,Zylbercweig Lexicon,"{""given-name"": ""צילע"", ""surname"": ""אדלר""}"
1850,temp_421,,,,,אַדעסער פאָלקסזינגער,,Zylbercweig Lexicon,"{""given-name"": ""אַדעסער"", ""surname"": ""פאָלקסזינגער""}"
1850,temp_431,,,,,משה יעקב אדערשלעגער,,Zylbercweig Lexicon,"{""primary-name"": ""משה יעקב אוֹדיֹאַדשלעגער"", ""given-name"": ""משה"", ""middle-name"": ""יעקב"", ""surname"": ""אַדעשלעגער""}"
1850,temp_441,,,,,עני (חנה סויבּער) אויגענבּליק,,Zylbercweig Lexicon,"{""given-name"": ""חנה"", ""alternative-name"": ""עני"", ""surname"": ""אויגענבּליק"", ""matronymic"": ""סויבּער""}"
1850,temp_451,,,,,פיליפּ אויגענבּליק,,Zylbercweig Lexicon,"{""primary-name"": ""פיליפּ אויגענבּליק"", ""given-name"": ""פיליפּ"", ""surname"": ""אויגענבּליק""}"
1850,temp_461,,,,,נחום אויסלענדער,,Zylbercweig Lexicon,"{""given-name"": ""נחום"", ""surname"": ""אויסלענדער""}"
1850,temp_471,,,,,אפרים אויערבּאַך,,Zylbercweig Lexicon,"{""given-name"": ""אפרים"", ""surname"": ""אויארבּאַך""}"
1850,temp_481,,,,,בּאָריס (בן-ציון) אויערבּאַך,,Zylbercweig Lexicon,"{""given-name"": ""בּאָריס"", ""alternative-name"": ""בן-ציון"", ""surname"": ""אויערבּאַך""}"
1850,temp_491,,,,,יצחק אויערבּאַך,,Zylbercweig Lexicon,"{""primary-name"": ""אויערבּאַך"", ""given-name"": ""יצחק"", ""surname"": ""אויערבּאַך""}"
1850,temp_501,,,,,ס. אויערבּאַך,,Zylbercweig Lexicon,"{""surname"": ""אויערבּאַך"", ""acronym"": ""ס.""}"
1850,temp_511,,,,,סעם אויערבּאַך,,Zylbercweig Lexicon,"{""given-name"": ""סעם"", ""surname"": ""אויערבּאַך""}"
1850,temp_521,,,,,משה אוישער,,Zylbercweig Lexicon,"{""given-name"": ""משה"", ""surname"": ""אוישער""}"
1850,temp_531,,,,,אולריך,,Zylbercweig Lexicon,"{""given-name"": ""אולריך""}"
1850,temp_541,,,,,אונזער ווינקל,,Zylbercweig Lexicon,"{""given-name"": ""אונזער"", ""surname"": ""ווינקל""}"
1850,temp_551,,,,,אונזער טעאַטער,,Zylbercweig Lexicon,"{""primary-name"": ""אונזער טעאַטער""}"
1850,temp_561,,,,,פּעפּי (פּערל) אוריך,,Zylbercweig Lexicon,"{""given-name"": ""פּעפּי"", ""alternative-name"": ""פּלר"", ""surname"": ""אוריך""}"
1850,temp_571,,,,,(יצחק פאַרבּעראָוויטש),,Zylbercweig Lexicon,"{""given-name"": ""יצחק"", ""surname"": ""פאַרבּעראָוויטש""}"
1850,temp_581,,,,,יצחק אַזאַרך,,Zylbercweig Lexicon,"{""given-name"": ""יצחק"", ""surname"": ""אזארך""}"
1850,temp_591,,,,,אַלעקסאַנדער (אָרליוק) אזראַ,,Zylbercweig Lexicon,"{""primary-name"": ""אַלעקסאַנדער"", ""alternative-name"": ""אָרליוק"", ""surname"": ""אזראַ""}"
1850,temp_601,,,,,דזשעני אַטלאַס,,Zylbercweig Lexicon,"{""primary-name"": ""דזשעני אַטלאַס"", ""given-name"": ""דזשעני"", ""surname"": ""א Atlās""}"
1850,temp_611,,,,,אידישע אַקטיאָרען-יוניאָן,,Zylbercweig Lexicon,"{""primary-name"": ""אידישע אַקטיאָרען-יוניאָן"", ""professional-name"": ""אַקטיאָרען-יוניאָן""}"
1850,temp_621,,,,,דוד (איגנאַטאָווסקי) איגנאַטאָוו,,Zylbercweig Lexicon,"{""given-name"": ""דוד"", ""alternative-name"": ""איגנאַטווסקי"", ""surname"": ""איגנאטוו""}"
1850,temp_631,,,,,פּינקוס (פּנחס איזבעסקי) איזבּעסקאָ,,Zylbercweig Lexicon,"{""primary-name"": ""איזבּעסקאָ"", ""given-name"": ""פּינקוס"", ""alternative-name"": ""פּנחס"", ""surname"": ""איזבעסקי""}"
1850,temp_641,,,,,איזמאַליאָננאַ,,Zylbercweig Lexicon,"{""primary-name"": ""איזמאַליאָננאַ""}"
1850,temp_651,,,,,איטקין,,Zylbercweig Lexicon,"{""surname"": ""איטקין""}"
1850,temp_661,,,,,לייזער איטעלמאַן,,Zylbercweig Lexicon,"{""given-name"": ""לייזער"", ""surname"": ""איטעלמאַן""}"
1850,temp_671,,,,,דוד אייבּראמס,,Zylbercweig Lexicon,"{""given-name"": ""דוד"", ""surname"": ""אייבּראמס""}"
1850,temp_681,,,,,אייגענפעלד (ערבּער),,Zylbercweig Lexicon,"{""primary-name"": ""אייגענפעלד"", ""alternative-name"": ""ערבּער""}"
1850,temp_691,,,,,נייטען (נטע) אייזיקאָוויטש,,Zylbercweig Lexicon,"{""alternative-name"": ""נטע"", ""surname"": ""אייזיקאָוויטש""}"
1850,temp_701,,,,,ראובן אייזלאַנד,,Zylbercweig Lexicon,"{""given-name"": ""ראובן"", ""surname"": ""אייזלאַנד""}"
1850,temp_711,,,,,גאָלדע אייזמאַן,,Zylbercweig Lexicon,"{""given-name"": ""גאָלדע"", ""surname"": ""אייזמאַן""}"
1850,temp_721,,,,,עווא אייזען-אָרענשטיין,,Zylbercweig Lexicon,"{""primary-name"": ""עווא אייזען-אָרענשטיין"", ""given-name"": ""עווא"", ""surname"": ""אָרענשטיין""}"
1850,temp_731,,,,,אברהם אייזענבּערג,,Zylbercweig Lexicon,"{""given-name"": ""אברהם"", ""surname"": ""אייזענבּערג""}"
1850,temp_741,,,,,ליובא אייזענבּערג,,Zylbercweig Lexicon,"{""primary-name"": ""ליובא אייזענבּערג"", ""given-name"": ""ליובא"", ""surname"": ""אייזענבּערג""}"
1850,temp_751,,,,,מרדכי אייזענשטאַט,,Zylbercweig Lexicon,"{""primary-name"": ""מרדכי אייזענשטאַט"", ""given-name"": ""מרדכי"", ""surname"": ""אייזענשטאט""}"
1850,temp_761,,,,,מרים אייזענשטאט,,Zylbercweig Lexicon,"{""given-name"": ""מרים"", ""surname"": ""אייזענשטאט""}"
1850,temp_771,,,,,נחמה אייזענשטאט,,Zylbercweig Lexicon,"{""given-name"": ""נחמה"", ""surname"": ""אייזענשטאט""}"
1850,temp_781,,,,,שלמה אייזענשטאַרק,,Zylbercweig Lexicon,"{""given-name"": ""שלמה"", ""surname"": ""אייזענשטאַרק""}"
1850,temp_791,,,,,אַלטער אייזענשלאָס,,Zylbercweig Lexicon,"{""primary-name"": ""אַלטער אייזענשלאָס"", ""given-name"": ""אַלטער"", ""surname"": ""אייזענשלאָס""}"
1850,temp_801,,,,,לייבּל אייזערמאַן,,Zylbercweig Lexicon,"{""given-name"": ""לייבּל"", ""surname"": ""אייזערמאַן""}"
1850,temp_811,,,,,יצחק אייכעל,,Zylbercweig Lexicon,"{""given-name"": ""יצחק"", ""surname"": ""אייכעל""}"
1850,temp_821,,,,,בּאַשע איינהאָרן,,Zylbercweig Lexicon,"{""primary-name"": ""בּאַשע איינהאָרן"", ""given-name"": ""בּאַשע"", ""surname"": ""איינהאָרן""}"
1850,temp_831,,,,,דוד איינהאָרן,,Zylbercweig Lexicon,"{""given-name"": ""דוד"", ""surname"": ""איינהאָרן""}"
1850,temp_841,,,,,ליזאַ איינהאָרן,,Zylbercweig Lexicon,"{""given-name"": ""ליזאַ"", ""surname"": ""אינהאָרן""}"
1850,temp_851,,,,,אברהם איינעס,,Zylbercweig Lexicon,"{""given-name"": ""אברהם"", ""surname"": ""איינעס""}"
1850,temp_861,,,,,אַברהם אייסען,,Zylbercweig Lexicon,"{""given-name"": ""אַברהם"", ""surname"": ""אייסען""}"
1850,temp_871,,,,,יצחק אינווענטאַרזש,,Zylbercweig Lexicon,"{""given-name"": ""יצחק"", ""surname"": ""אינווענטאַרזש""}"
1850,temp_881,,,,,שבּתי איצקאָוויטש,,Zylbercweig Lexicon,"{""primary-name"": ""שבּתי איצקאָוויטש"", ""given-name"": ""שבּתי"", ""surname"": ""איצקאָוויטש""}"
1850,temp_891,,,,,סאָניאַ (פעלדמאַן) איריס,,Zylbercweig Lexicon,"{""given-name"": ""סאָניאַ"", ""alternative-name"": ""איריס"", ""surname"": ""פעלדמאַן""}"
1850,temp_901,,,,,שמואל איריס,,Zylbercweig Lexicon,"{""given-name"": ""שמואל"", ""surname"": ""איריס""}"
1850,temp_911,,,,,יוסף אכראן,,Zylbercweig Lexicon,"{""given-name"": ""יוסף"", ""surname"": ""אכראן""}"
1850,temp_921,,,,,(אליעזר סערהייסקי),,Zylbercweig Lexicon,"{""given-name"": ""אליעזר"", ""surname"": ""סערהייסקי""}"
1850,temp_931,,,,,(משה יוסף נאָוואָמיסקי),,Zylbercweig Lexicon,"{""given-name"": ""משה"", ""middle-name"": ""יוסף"", ""surname"": ""נאָוואָמיסקי""}"
1850,temp_941,,,,,סאָניא אלטבּוים,,Zylbercweig Lexicon,"{""given-name"": ""סאָניא"", ""surname"": ""אלטבּוים""}"
1850,temp_951,,,,,בּאָריס אַלטמאַן,,Zylbercweig Lexicon,"{""primary-name"": ""בּאָריס אַן"", ""surname"": ""אָלטמאַן""}"
1850,temp_961,,,,,מאָריס אַלטמאַן,,Zylbercweig Lexicon,"{""given-name"": ""מאָריס"", ""surname"": ""אַלטמאַן""}"
1850,temp_971,,,,,משה אַלטמאן,,Zylbercweig Lexicon,"{""given-name"": ""משה"", ""surname"": ""אַלטמאן""}"
1850,temp_991,,,,,לייבּ אַלטשולער,,Zylbercweig Lexicon,"{""given-name"": ""לייבּ"", ""surname"": ""אַלטשולער""}"
1850,temp_1001,,,,,שמואל אַלמאַן,,Zylbercweig Lexicon,"{""given-name"": ""שמואל"", ""surname"": ""אַלמאַן""}"
1850,temp_1011,,,,,א. (אליהו חיים שעפּס) אלמי,,Zylbercweig Lexicon,"{""given-name"": ""אליהו"", ""alternative-name"": ""שעפּס"", ""middle-name"": ""חיים"", ""acronym"": ""א.""}"
