	model_1	model_2	recall
0	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	0.5802152742183496
1	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-MiniLM-L12-v2	0.6273705791901589
2	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	0.6381342901076371
3	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-distilroberta-v1	0.7421834956432599
4	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.7514095335725269
5	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-mpnet-base-v2	0.6432598667350077
6	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.6437724243977447
7	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-MiniLM-L12-v2	0.6406970784213224
8	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	0.6406970784213224
9	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1	0.751922091235264
10	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.7565351101998975
11	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2	0.655561250640697
12	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.6483854433623782
13	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	0.6048180420297283
14	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-distilroberta-v1	0.7493593029215787
15	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.7570476678626346
16	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-mpnet-base-v2	0.6519733470015376
17	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.6514607893388006
18	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1	0.7585853408508457
19	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.7601230138390569
20	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2	0.6611993849308048
21	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.65504869297796
22	Zylbercweig-LASKIall-distilroberta-v1	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.7022039979497694
23	Zylbercweig-LASKIall-distilroberta-v1	Zylbercweig-LASKIall-mpnet-base-v2	0.7119425935417735
24	Zylbercweig-LASKIall-distilroberta-v1	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.7124551512045105
25	Zylbercweig-LASKIall-distilroberta-v1first-sur	Zylbercweig-LASKIall-mpnet-base-v2	0.716555612506407
26	Zylbercweig-LASKIall-distilroberta-v1first-sur	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.7119425935417735
27	Zylbercweig-LASKIall-mpnet-base-v2	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.5761148129164531
