	model_1	model_2	recall
0	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	0.45515120451050745
1	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-MiniLM-L12-v2	0.5094823167606356
2	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	0.5207585853408508
3	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-distilroberta-v1	0.6114812916453101
4	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.619682214249103
5	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-mpnet-base-v2	0.5146078933880062
6	Zylbercweig-LASKIall-MiniLM-L6-v2	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.513070220399795
7	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-MiniLM-L12-v2	0.5161455663762173
8	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	0.5192209123526397
9	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1	0.6186570989236289
10	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.619682214249103
11	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2	0.5207585853408508
12	Zylbercweig-LASKIall-MiniLM-L6-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.5171706817016914
13	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	0.49308047155304974
14	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-distilroberta-v1	0.6248077908764736
15	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.6268580215274219
16	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-mpnet-base-v2	0.5274218349564326
17	Zylbercweig-LASKIall-MiniLM-L12-v2	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.5258841619682214
18	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1	0.6386468477703742
19	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.6355715017939518
20	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2	0.5397232188621219
21	Zylbercweig-LASKIall-MiniLM-L12-v2first-sur	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.5351101998974884
22	Zylbercweig-LASKIall-distilroberta-v1	Zylbercweig-LASKIall-distilroberta-v1first-sur	0.5545873910814967
23	Zylbercweig-LASKIall-distilroberta-v1	Zylbercweig-LASKIall-mpnet-base-v2	0.5745771399282419
24	Zylbercweig-LASKIall-distilroberta-v1	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.5776524859046642
25	Zylbercweig-LASKIall-distilroberta-v1first-sur	Zylbercweig-LASKIall-mpnet-base-v2	0.5873910814966684
26	Zylbercweig-LASKIall-distilroberta-v1first-sur	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.5817529472065608
27	Zylbercweig-LASKIall-mpnet-base-v2	Zylbercweig-LASKIall-mpnet-base-v2first-sur	0.4638646847770374
