Unnamed: 0,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
0,http://www.wikidata.org/entity/Q305795,abū alqāsm bn ʿbād,ar,ʔbw aːlqaːlʔaːsm bn ʕbaːd bn ʕbaːd,أبا القاسم بن عباد,مؤسس سلالة بني عباد، التي أقامت دولة في جنوب الأندلس,0984-01-01,1042-01-01,58,"{""name_part_0"": ""abū"", ""name_part_1"": ""alqāsm"", ""name_part_2"": ""bn"", ""name_part_3"": ""ʿbād""}"
1,http://www.wikidata.org/entity/Q1029682,ghlbrt drīnghūt,ar,ɣlbrt dreːnɣuːt,,,0985-01-01,1018-10-01,33,"{""name_part_0"": ""ghlbrt"", ""name_part_1"": ""drīnghūt""}"
2,http://www.wikidata.org/entity/Q1029688,aūzmūnd drīnghūt,ar,ʔawzmoːnd dreːnɣuːt,,,0985-01-01,1018-10-01,33,"{""name_part_0"": ""aūzmūnd"", ""name_part_1"": ""drīnghūt""}"
3,http://www.wikidata.org/entity/Q232039,jīzīlā albāfārīah,ar,dʒeːzjlaː aːlbaːfaːriːa,جيزيلا  المجرية,ملكة المجر القرينة,0985-01-01,1033-01-01,48,"{""name_part_0"": ""jīzīlā"", ""name_part_1"": ""albāfārīah""}"
4,http://www.wikidata.org/entity/Q296652,sānshū althalth mlk nāfārā,ar,saːnʃuː aːlθaːlθ mlk naːfaːraː,شانجة الأكبر,,0985-01-01,1035-10-18,50,"{""name_part_0"": ""sānshū"", ""name_part_1"": ""althalth"", ""name_part_2"": ""mlk"", ""name_part_3"": ""nāfārā""}"
5,http://www.wikidata.org/entity/Q542064,rādbūt mn klītghāū,ar,raːdbwt mn klajtɣaːw,,,0985-01-01,1045-01-01,60,"{""name_part_0"": ""rādbūt"", ""name_part_1"": ""mn"", ""name_part_2"": ""klītghāū""}"
6,http://www.wikidata.org/entity/Q615555,ḥmzah bn ʿlī bn aḥmd,ar,ħmzt bn ʕleː bn ʔ|uħmd,,مؤسس مذهب الموحدون الدروز,0985-01-01,1021-01-01,36,"{""name_part_0"": ""ḥmzah"", ""name_part_1"": ""bn"", ""name_part_2"": ""ʿlī"", ""name_part_3"": ""bn"", ""name_part_4"": ""aḥmd""}"
7,http://www.wikidata.org/entity/Q708539,ralf ghlābr,ar,raːlf ɣlaːbr,,مؤرخ فرنسي,0985-01-01,1047-01-01,62,"{""name_part_0"": ""ralf"", ""name_part_1"": ""ghlābr""}"
8,http://www.wikidata.org/entity/Q342137,alḥākm bamr allh,ar,ħaːkm bʔmr aːllh,أبو علي المنصور,سادس الخلفاء الفاطميين (حكم 386 – 411هـ / 996 – 1021م),0985-08-18,1021-02-13,36,"{""name_part_0"": ""alḥākm"", ""name_part_1"": ""bamr"", ""name_part_2"": ""allh""}"
9,http://www.wikidata.org/entity/Q5260727,aūjīf mn lūksmbūrgh,ar,a:awʒajf mn lwksmbwrɣ,,,0986-01-01,1030-02-21,44,"{""name_part_0"": ""aūjīf"", ""name_part_1"": ""mn"", ""name_part_2"": ""lūksmbūrgh""}"
