Unnamed: 0,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
0,http://www.wikidata.org/entity/Q232039,gīzla mbuuarīa,he,ɡizla mboʔʁia,,"נסיכה גרמניה, מלכה-רעיה הונגרית",0985-01-01,1033-01-01,48,"{""name_part_0"": ""gīzla"", ""name_part_1"": ""mbuuarīa""}"
1,http://www.wikidata.org/entity/Q296652,snḍu hṣlīṣī mlkh nuuara,he,sntso hʃliʃi mlχ noʔra,,,0985-01-01,1035-10-18,50,"{""name_part_0"": ""snḍu"", ""name_part_1"": ""hṣlīṣī"", ""name_part_2"": ""mlkh"", ""name_part_3"": ""nuuara""}"
2,http://www.wikidata.org/entity/Q542064,radbut ruzn hbsburg,he,ʁʔdbot rozn hbsborɡ,,אציל גרמני,0985-01-01,1045-01-01,60,"{""name_part_0"": ""radbut"", ""name_part_1"": ""ruzn"", ""name_part_2"": ""hbsburg""}"
3,http://www.wikidata.org/entity/Q615555,ḥmza bn-ʿlī,he,χmza bnʔli,,ממפיצי הדת הדרוזית,0985-01-01,1021-01-01,36,"{""name_part_0"": ""ḥmza"", ""name_part_1"": ""bn-ʿlī""}"
4,http://www.wikidata.org/entity/Q708539,rdulfus glabr,he,rdolfos ɡlʔbʁ,ראול רדולפוס גלאבר,היסטוריון צרפתי,0985-01-01,1047-01-01,62,"{""name_part_0"": ""rdulfus"", ""name_part_1"": ""glabr""}"
5,http://www.wikidata.org/entity/Q342137,al-ḥakm bamr alla,he,ʔlχʔχm bʔmʁ ʔlla,אל-מנצור בן נזאר,ח'ליפה פאטמי,0985-08-18,1021-02-13,36,"{""name_part_0"": ""al-ḥakm"", ""name_part_1"": ""bamr"", ""name_part_2"": ""alla""}"
6,http://www.wikidata.org/entity/Q31647,bzfrīm,he,bzfrim,,,0986-01-01,1032-01-01,46,"{""name_part_0"": ""bzfrīm""}"
7,http://www.wikidata.org/entity/Q188684,admund hṣnī mlkh anglīa,he,ʔdmond hʃni mlχ ʔŋlia,אדמונד השני מאנגליה,מלך אנגליה,0988-01-01,1016-11-30,28,"{""name_part_0"": ""admund"", ""name_part_1"": ""hṣnī"", ""name_part_2"": ""mlkh"", ""name_part_3"": ""anglīa""}"
8,http://www.wikidata.org/entity/Q4267,admr mṣabn,he,ʔdmr mʃʔbn,,נזיר וכרוניקן צרפתי (988–1034 בערך),0988-01-01,1034-01-01,46,"{""name_part_0"": ""admr"", ""name_part_1"": ""mṣabn""}"
9,http://www.wikidata.org/entity/Q62033,gīsla mṣuuabīa,he,ɡisla mʃoʔbia,,,0989-11-16,1043-02-15,54,"{""name_part_0"": ""gīsla"", ""name_part_1"": ""mṣuuabīa""}"
10,http://www.wikidata.org/entity/Q152256,kunrad hṣnī kīsr hʾImfrīa hrumīt hkduṣa,he,konrʔd hʃni qisʁ hʔimfʁia hʁomit hqdoʃa,,קיסר האימפריה הרומית הקדושה,0990-01-01,1039-06-04,49,"{""name_part_0"": ""kunrad"", ""name_part_1"": ""hṣnī"", ""name_part_2"": ""kīsr"", ""name_part_3"": ""hʾImfrīa"", ""name_part_4"": ""hrumīt"", ""name_part_5"": ""hkduṣa""}"
11,http://www.wikidata.org/entity/Q312775,ṣmual aba mlkh hungrīa,he,ʃmoʔl ʔbʔ mlχ hoŋʁia,,,0990-01-01,1044-07-11,54,"{""name_part_0"": ""ṣmual"", ""name_part_1"": ""aba"", ""name_part_2"": ""mlkh"", ""name_part_3"": ""hungrīa""}"
12,http://www.wikidata.org/entity/Q335966,īuna abn gnaḥ,he,jona ʔbn ɡnʔħ,"אבן ג׳אנח, אבו אל־ואליד מרואן,",מדקדק עברי,0990-01-01,1050-01-01,60,"{""name_part_0"": ""īuna"", ""name_part_1"": ""abn"", ""name_part_2"": ""gnaḥ""}"
13,http://www.wikidata.org/entity/Q5670642,slguk,he,slɡvq,,מייסד השושלת הסלג'וקית,0990-01-01,1038-01-01,48,"{""name_part_0"": ""slguk""}"
14,http://www.wikidata.org/entity/Q28468,mīīsku hṣnī,he,miisqo hʃni,,,0990-01-01,1034-05-11,44,"{""name_part_0"": ""mīīsku"", ""name_part_1"": ""hṣnī""}"
15,http://www.wikidata.org/entity/Q47179,ʾIrlngga,he,ʔiʁlŋɡa,,,0991-01-01,1049-01-01,58,"{""name_part_0"": ""ʾIrlngga""}"
16,http://www.wikidata.org/entity/Q192238,guuīdu dharṣu,he,ɡoidv dʔrtso,גואידו מארצו,,0992-01-01,1050-01-01,58,"{""name_part_0"": ""guuīdu"", ""name_part_1"": ""dharṣu""}"
17,http://www.wikidata.org/entity/Q935635,ūtuna ūrsūlu,he,aotona aoʁsaolo,אוטו אורסאולו,דוכס ונציה ה-27,0993-01-01,1032-01-01,39,"{""name_part_0"": ""ūtuna"", ""name_part_1"": ""ūrsūlu""}"
18,http://www.wikidata.org/entity/Q134128,knut hgdul,he,knot hɡdol,קנוט השני,"מלך אנגליה, דנמרק ונורווגיה",0994-01-01,1035-11-12,41,"{""name_part_0"": ""knut"", ""name_part_1"": ""hgdul""}"
19,http://www.wikidata.org/entity/Q283561,alfunsu hḥmīṣī mlkh lūn,he,ʔlfonso hχmiʃi mlχ laon,,,0994-01-01,1028-08-07,34,"{""name_part_0"": ""alfunsu"", ""name_part_1"": ""hḥmīṣī"", ""name_part_2"": ""mlkh"", ""name_part_3"": ""lūn""}"
20,http://www.wikidata.org/entity/Q311011,harald hṣnī mlkh dnmrk,he,hʔʁʔld hʃni mlχ dnmrq,,מלך דנמרק,0994-01-01,1018-01-01,24,"{""name_part_0"": ""harald"", ""name_part_1"": ""hṣnī"", ""name_part_2"": ""mlkh"", ""name_part_3"": ""dnmrk""}"
21,http://www.wikidata.org/entity/Q1931590,īḥīa al-mtʿlī balla,he,jħja ʔlmtʔli bʔlla,,,0995-01-01,1035-01-01,40,"{""name_part_0"": ""īḥīa"", ""name_part_1"": ""al-mtʿlī"", ""name_part_2"": ""balla""}"
