Unnamed: 0,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
0,http://www.wikidata.org/entity/Q9546,algazali,yid,alɡasali,,פערסישער מוסולמענער פילאסאף און יוריסט,1056-01-01,1111-12-26,55,"{""name_part_0"": ""algazali""}"
1,http://www.wikidata.org/entity/Q318820,bnimn tudelens,yid,bnimn todləns,,,1130-01-01,1174-01-01,44,"{""name_part_0"": ""bnimn"", ""name_part_1"": ""tudelens""}"
2,http://www.wikidata.org/entity/Q714595,giargi der ferter lasa,yid,ɡjaʒɡi del peltəl laʃə,,גרוזיניעשער מלך,1191-01-01,1223-01-01,32,"{""name_part_0"": ""giargi"", ""name_part_1"": ""der"", ""name_part_2"": ""ferter"", ""name_part_3"": ""lasa""}"
3,http://www.wikidata.org/entity/Q239486,deiwid der tsweiter mlkh fun schatland,yid,dejvid del tvejtəl malʃ pon ʃatland,"דעיוויד דער צווייטער, מלך פון שאטלאנד",,1324-03-05,1371-02-22,47,"{""name_part_0"": ""deiwid"", ""name_part_1"": ""der"", ""name_part_2"": ""tsweiter"", ""name_part_3"": ""mlkh"", ""name_part_4"": ""fun"", ""name_part_5"": ""schatland""}"
4,http://www.wikidata.org/entity/Q61809176, ,yid,olso olsini,,,1404-01-01,1424-07-28,20,"{""name_part_0"": """", ""name_part_1"": """"}"
5,http://www.wikidata.org/entity/Q7226,zsan dark,yid,saʃən dalk,,,1412-01-01,1431-06-08,19,"{""name_part_0"": ""zsan"", ""name_part_1"": ""dark""}"
6,http://www.wikidata.org/entity/Q47674,ameriga wesfutshi,yid,aməliɡə vespoti,אמעריגאָ וועספוטשי,,1454-03-18,1512-03-03,58,"{""name_part_0"": ""ameriga"", ""name_part_1"": ""wesfutshi""}"
7,http://www.wikidata.org/entity/Q675493,henri der zibeter,yid,henʒi del sibətel,,מלך פון ענגלאנד,1457-01-28,1509-04-21,52,"{""name_part_0"": ""henri"", ""name_part_1"": ""der"", ""name_part_2"": ""zibeter""}"
8,http://www.wikidata.org/entity/Q207953,elizabet fun iark,yid,elisabet pon jalk,,,1466-02-20,1503-02-21,37,"{""name_part_0"": ""elizabet"", ""name_part_1"": ""fun"", ""name_part_2"": ""iark""}"
9,http://www.wikidata.org/entity/Q711801,artur frints fun weils,yid,aʒtoʒ pʒint pon vejls,ארטור טיודאר,,1486-09-29,1502-04-02,16,"{""name_part_0"": ""artur"", ""name_part_1"": ""frints"", ""name_part_2"": ""fun"", ""name_part_3"": ""weils""}"
10,http://www.wikidata.org/entity/Q1949189,rma,yid,ʒamə,משה איסערלס,,1520-03-03,1572-05-20,52,"{""name_part_0"": ""rma""}"
