Cluster ID,confidence_score,,id,lon,geo_id,geowkt,lat,title,geo_source,title_source,name_parts,data_source,description
327,1.0,0,0,,,,,abvdui,,Zylbercweig Lexicon,"{""primary-name"": ""avdui""}",0,
328,1.0,1,1,,,,,veny (vrukh-mshh) veiman,,Zylbercweig Lexicon,"{""given-name"": ""brukh-mshh"", ""alternative-name"": ""veny"", ""surname"": ""veiman""}",0,
329,1.0,2,2,,,,,tsye (tspurh) aveiman,,Zylbercweig Lexicon,"{""primary-name"": ""tsye"", ""alternative-name"": ""tsypurh"", ""surname"": ""aveiman""}",0,
330,1.0,3,3,,,,,vn-tsyun veison,,Zylbercweig Lexicon,"{""given-name"": ""tsyun"", ""surname"": ""veison"", ""patronymic"": ""bn""}",0,
331,1.0,4,4,,,,,adoif aververg,,Zylbercweig Lexicon,"{""given-name"": ""adoif"", ""surname"": ""aververg""}",0,
332,1.0,5,5,,,,,aieksader averiender,,Zylbercweig Lexicon,"{""given-name"": ""aieksader"", ""surname"": ""averiender""}",0,
333,1.0,6,6,,,,,yozef veriender,,Zylbercweig Lexicon,"{""given-name"": ""eyzef"", ""surname"": ""veriender""}",0,
334,1.0,7,7,,,,,soye overiender,,Zylbercweig Lexicon,"{""given-name"": ""soyh"", ""surname"": ""overiender""}",0,
335,1.0,8,8,,,,,ytskhk (haver) averman,,Zylbercweig Lexicon,"{""given-name"": ""ytskhk"", ""alternative-name"": ""haver"", ""surname"": ""avermn""}",0,
160,0.5571676,9,9,,,,,yd (eitenshteyn) avragam,,Zylbercweig Lexicon,"{""given-name"": ""yd"", ""alternative-name"": ""eitenshteyn"", ""surname"": ""avragam""}",0,
336,1.0,10,10,,,,,avramov,,Zylbercweig Lexicon,"{""surname"": ""avramov""}",0,
161,0.62491184,12,11,,,,,adoif (brhm perkof) avramov,,Zylbercweig Lexicon,"{""given-name"": ""adoif"", ""alternative-name"": ""brhm perkof"", ""surname"": ""avramov""}",0,
162,0.62491184,13,12,,,,,vorys (eyniand) avramov,,Zylbercweig Lexicon,"{""given-name"": ""vorys"", ""alternative-name"": ""eyniand"", ""surname"": ""avramov""}",0,
337,1.0,14,13,,,,,mery (mrym eynhorn) avramov,,Zylbercweig Lexicon,"{""given-name"": ""mrym"", ""alternative-name"": ""mery"", ""surname"": ""avramov"", ""matronymic"": ""eynhorn""}",0,
338,1.0,15,14,,,,,yzok avramovytsh,,Zylbercweig Lexicon,"{""given-name"": ""yzok"", ""surname"": ""avramovytsh""}",0,
339,1.0,16,15,,,,,vyne (uks) avramovytsh,,Zylbercweig Lexicon,"{""given-name"": ""vyne"", ""alternative-name"": ""uks"", ""surname"": ""avramovytsh""}",0,
340,1.0,17,16,,,,,kheym avramovytsh,,Zylbercweig Lexicon,"{""given-name"": ""kheym"", ""surname"": ""brmubytsh""}",0,
341,1.0,18,17,,,,,maks (mendi) avramovytsh,,Zylbercweig Lexicon,"{""primary-name"": ""avramovytsh"", ""given-name"": ""maks"", ""alternative-name"": ""mendi""}",0,
163,0.5959679,19,18,,,,,kh e avramovyts,,Zylbercweig Lexicon,"{""surname"": ""avramovyts"", ""honorific"": ""kh e""}",0,
342,1.0,20,19,,,,,adoif (vramovytsh) avrms,,Zylbercweig Lexicon,"{""given-name"": ""adoif"", ""alternative-name"": ""vramovytsh"", ""surname"": ""avrms""}",0,
343,1.0,21,20,,,,,eyvan avramson,,Zylbercweig Lexicon,"{""given-name"": ""eyvan"", ""surname"": ""avramsun""}",0,
344,1.0,22,21,,,,,g avramsky,,Zylbercweig Lexicon,"{""surname"": ""avramsky"", ""acronym"": ""g""}",0,
345,1.0,23,22,,,,,sem (shmui) agursky,,Zylbercweig Lexicon,"{""primary-name"": ""gursky"", ""given-name"": ""shmui"", ""alternative-name"": ""sem""}",0,
346,1.0,24,23,,,,,sem (shimh) aged,,Zylbercweig Lexicon,"{""given-name"": ""shimh"", ""alternative-name"": ""sem"", ""surname"": ""aged""}",0,
347,1.0,25,24,,,,,adoiy,,Zylbercweig Lexicon,"{""given-name"": ""adoiy""}",0,
0,0.5889836,26,25,,,,,ssr (shatsky) adier,,Zylbercweig Lexicon,"{""given-name"": ""ssr"", ""alternative-name"": ""shatsky"", ""surname"": ""adier""}",0,
348,1.0,27,26,,,,,veny adier,,Zylbercweig Lexicon,"{""primary-name"": ""veny adir"", ""given-name"": ""veny"", ""surname"": ""adir""}",0,
349,1.0,28,27,,,,,dzhuiy adier,,Zylbercweig Lexicon,"{""given-name"": ""dzhuiy"", ""surname"": ""adier""}",0,
350,1.0,29,28,,,,,dzhuiyus adier,,Zylbercweig Lexicon,"{""primary-name"": ""dzhuiyus adier"", ""given-name"": ""dzhuiyus"", ""surname"": ""adier""}",0,
351,1.0,30,29,,,,,heyman (varteid) adier,,Zylbercweig Lexicon,"{""primary-name"": ""heyman"", ""alternative-name"": ""varteid"", ""surname"": ""adier""}",0,
352,1.0,31,30,,,,,yuzhe adier,,Zylbercweig Lexicon,"{""given-name"": ""yuzhe"", ""surname"": ""dier""}",0,
353,1.0,32,31,,,,,yuiyus adier,,Zylbercweig Lexicon,"{""primary-name"": ""yuiyus adir"", ""given-name"": ""yuiyus"", ""surname"": ""adir""}",0,
354,1.0,33,32,,,,,yekb p (yekb vn pnkhs) adier,,Zylbercweig Lexicon,"{""given-name"": ""yekb"", ""alternative-name"": ""yekb"", ""surname"": ""adir"", ""patronymic"": ""bn nkhs""}",0,
355,1.0,34,33,,,,,yrmyhu (goidenverg-tversky) adier,,Zylbercweig Lexicon,"{""primary-name"": ""yrmyhu"", ""alternative-name"": ""goidenverg-tversky"", ""surname"": ""adier""}",0,
