id_1	title_1	id_2	title_2	judgement
temp_01	אַּבבּדול	yt/lex/A/abdul.htm	Abdul	True
temp_21	ציפע (צפּורה) אַבּעלמאַן	moyt/lex/A/abelman-tsipa-V5.htm	Tsipa Abelman	True
temp_31	בּן-ציון אבּעלסאָן	moyt/lex/A/abelson-ben-zion-V5.htm	Ben-Zion Abelson	True
temp_81	יצחק (האַבּער) אַבּערמאַן	yt/lex/A/aberman-isaac.htm	Isaac Aberman	True
temp_91	ידא (פעלטענשטיין) אַבּראַגאַם	yt/lex/A/abragam-ida.htm	Ida Abragam	True
temp_111	א. (אברהם קאַגאַן) אַבּראַמאָוו	yt/lex/A/abramov-a.htm	A. Abramov	True
temp_121	אַדאָלף (אברהם פּערקאָף) אַבּראַמאָוו	yt/lex/A/abramov-adolf.htm	Adolf Abramov	True
temp_131	בּאָריס (פיינלאַנד) אַבּראַמאָוו	yt/lex/A/abramov-boris.htm	Boris Abramov	True
temp_141	מערי (מרים איינהאָרן) אַבּראַמאָוו	yt/lex/A/abramov-mary.htm	Mary Abramov	True
temp_101	אַבּראַמאָוו	yt/lex/A/abramov.htm	Abramov	True
temp_161	בּינע (פוקס) אַבּראַמאָוויטש	yt/lex/A/abramovich-bina.htm	Bina Abramovich	True
temp_181	מאַקס (מענדל) אַבּראַמאָוויטש	yt/lex/A/abramovich-max.htm	Max Abramovich	True
temp_191	ח. ע. אַבּראַמאָוויץ	yt/lex/A/abramovits-ch-e.htm	Ch.E. Abramovits	True
temp_171	חיים אַבּראַמאָוויטש	yt/lex/A/abramovitsh-chaim.htm	Chaim Abramovitsh	True
temp_151	איזאָק אַבּראַמאָוויטש	yt/lex/A/abramovitsh-isaak.htm	Isaak Abramovitsh	True
temp_201	אַדאָלף (אבּראַמאָוויטש) אַבּראמס	yt/lex/A/abrams-adolph.htm	Adolph Abrams	True
temp_671	דוד אייבּראמס	yt/lex/A/abrams-david.htm	David Abrams	True
temp_221	ג. אַבּראַמסקי	yt/lex/A/abramski-g.htm	G. Abramski	True
temp_211	אייוואַן אַבּראַמסאָן	yt/lex/A/abramson-ivan.htm	Ivan Abramson	True
temp_911	יוסף אכראן	yt/lex/A/achron-joseph.htm	Joseph Achron	True
temp_431	משה יעקב אדערשלעגער	yt/lex/A/adershleger-moshe-yakov.htm	Moshe Yakov Adershleger	True
temp_391	עמיליע (שרה-מילקע שטאַנג) אַדלער	yt/lex/A/adler-amelia.htm	Amelia Adler	True
temp_271	בּעני אַדלער	yt/lex/A/adler-benny.htm	Benny Adler	True
temp_411	צילע אַדלער	yt/lex/A/adler-celia.htm	Celia Adler	True
temp_261	אסתר (שאַצקי) אַדלער	moyt/lex/A/adler-esther-V5.htm	Esther Adler	True
temp_401	פרענציס אַדלער	yt/lex/A/adler-frances.htm	Frances Adler	True
temp_301	היימאַן (בּאַרטפעלד) אַדלער	yt/lex/A/adler-hyman.htm	Hyman Adler	True
temp_351	ישראל אַדלער	yt/lex/A/adler-israel.htm	Israel Adler	True
temp_331	יעקב פּ. (יעקב בּן פּנחס) אַדלער	yt/lex/A/adler-jacob-p.htm	Jacob P. Adler	True
temp_281	דזשוליא אַדלער	yt/lex/A/adler-julia.htm	Julia Adler	True
temp_371	סעם אַדלער	yt/lex/A/adler-sam.htm	Sam Adler	True
temp_361	סטעלאַ אַדלער	yt/lex/A/adler-stella.htm	Stella Adler	True
temp_341	ירמיהו (גאָלדענבּערג-טווערסקי) אַדלער	yt/lex/A/adler-yirmeyahu.htm	Yirmeyahu Adler	True
temp_311	יוזשע אַדלער	yt/lex/A/adler-yuzhe.htm	Yuzhe Adler	True
temp_251	אַדאָלפי	yt/lex/A/adolfi.htm	Adolfi	True
temp_1351	ניקאָליי אפרת	yt/lex/A/afrat-nikolai.htm	Nikolai Afrat	True
temp_241	סעם (שלמה) אַגעד	yt/lex/A/agid-sam.htm	Sam Agid	True
temp_1031	אהרן אָלעקסאַנדראָוו	yt/lex/A/aleksandrov-aaron.htm	Aaron Aleksandrov	True
temp_1041	ח. (וויליאַם מילער) אָלעקסאַנדראָוו	yt/lex/A/aleksandrov-ch.htm	Ch. Aleksandrov	True
